surface,atmosphere,logZ,logZ_err,ΔlnZ,bayes_factor
albite_dust,bare_rock,-13.440502404552547,0.07190689467438355,-4.4378100639441005,0.011821799177086853
andesite,bare_rock,-11.542502332977545,0.02671654932540093,-2.539809992369099,0.07888138643219991
basalt_glass,bare_rock,-9.607274407059702,0.026846175718035905,-0.6045820664512558,0.5463026971603452
basalt_large,bare_rock,-10.0896782891909,0.024561085536699064,-1.0869859485824538,0.3372313962220511
basalt_small,bare_rock,-9.670513716995497,0.025703969463831057,-0.6678213763870513,0.512824613446448
basalt_tuff,bare_rock,-10.364768286966527,0.025734490152624242,-1.3620759463580807,0.2561285156125239
diorite,bare_rock,-9.56730263234072,0.030701536248670905,-0.564610291732274,0.5685816845705327
gabbro,bare_rock,-9.749720309135373,0.025297304433852166,-0.7470279685269272,0.47377252927092417
granite,bare_rock,-9.783514088296055,0.029286477468375417,-0.7808217476876091,0.45802947195680555
harzburgite,bare_rock,-11.075345232594211,0.02613224495316016,-2.072652891985765,0.12585146810104667
hematite,bare_rock,-9.783353819751389,0.02548137036046085,-0.7806614791429425,0.45810288555647877
lherzolite,bare_rock,-10.391724964422913,0.02348464328094427,-1.389032623814467,0.24931637073177595
lunar_anorthosite,bare_rock,-10.92156023050554,0.029560407770535535,-1.9188678898970934,0.1467730313399121
lunar_marebasalt,bare_rock,-10.52372296913977,0.02309522048276329,-1.5210306285313244,0.21848659235884219
magnesium_sulphate,bare_rock,-17.875805094753414,0.10044158631641148,-8.873112754144968,0.00014010579332151342
mars_basalticshergottite,bare_rock,-10.028576530216235,0.022302564966044772,-1.0258841896077886,0.3584793615105719
mars_breccia,bare_rock,-12.24638010915234,0.03334876813094509,-3.2436877685438947,0.039019733698901396
norite,bare_rock,-9.820128675815758,0.023485845103395193,-0.8174363352073115,0.4415622222113431
phonolite,bare_rock,-9.776546621931844,0.02345758045481743,-0.7738542813233984,0.4612319204170621
pyrite,bare_rock,-9.002692340608446,0.02482235580040059,0.0,1.0
rhyolite,bare_rock,-9.908647076889523,0.02909373213869577,-0.9059547362810765,0.40415583860371956
syenite,bare_rock,-10.380928647515942,0.02425398401818178,-1.378236306907496,0.25202265192794493
tephrite,bare_rock,-9.636817085251074,0.02241204879535569,-0.6341247446426284,0.5303995202363678
tholeiitic_basalt,bare_rock,-12.318573169789941,0.023951127299464397,-3.315880829181495,0.036302058578002
trachy_andesite,bare_rock,-10.623753572314738,0.025335996226866053,-1.6210612317062925,0.19768879410812057
trachy_basalt,bare_rock,-10.325022572451111,0.022445784990955626,-1.322330231842665,0.26651353948562106
trachyte,bare_rock,-10.516548727708356,0.023280408988070257,-1.51385638709991,0.22005970411642664
ultramafic,bare_rock,-11.542095235437971,0.050739123530718425,-2.539402894829525,0.07891350538786496
greybody,001bar_CO2,-12.94383216233283,0.0259547950653027,-3.907615254039495,0.02008834959626087
greybody,01bar_CO2,-17.351309935419394,0.02969018524092591,-8.315093027126059,0.00024479412002358905
