surface,atmosphere,logZ,chi2_red,ΔlnZ,bayes_factor
greybody,001bar_CO2,-12.709262294314986,2.520087451872094,-3.869960351904467,0.020859196436232946
greybody,01bar_CO2,-17.192281401385582,3.4358940506986024,-8.352979458975064,0.00023569323292555242
greybody,1bar_CO2,-16.890321631624687,3.333077829695095,-8.051019689214169,0.00031877670353193567
greybody,10bar_CO2,-14.799615461671735,2.952995377759762,-5.960313519261216,0.0025791032467138123
greybody,100bar_CO2,-14.626445508817321,2.9207347031447255,-5.787143566406803,0.003066729586690047
greybody,001bar_H2O,-11.795913902187984,2.455101418409774,-2.956611959777465,0.05199477949448085
greybody,01bar_H2O,-11.856161452649804,2.464536733264936,-3.0168595102392857,0.048954718996013356
greybody,1bar_H2O,-13.13302044923284,2.8008790354333595,-4.293718506822321,0.013654058072821029
greybody,10bar_H2O,-11.731828271743886,2.440558270102511,-2.892526329333368,0.0554359859992083
greybody,100bar_H2O,-11.7338318557564,2.42353712116722,-2.894529913345881,0.05532502653936143
greybody,001bar_SO2,-42.29068969705751,9.298553117709417,-33.45138775464699,2.966517305268058e-15
greybody,01bar_SO2,-49.33632181626658,10.96487637997631,-40.49701987385606,2.5844476240430747e-18
greybody,1bar_SO2,-52.76717772666785,11.700025408034657,-43.92787578425734,8.36307410674621e-20
greybody,10bar_SO2,-53.94437129602902,11.917102471252118,-45.105069353618504,2.577016942779749e-20
greybody,100bar_SO2,-53.9820433283398,11.989195000232607,-45.142741385929284,2.481741357231171e-20
greybody,001bar_CH4,-17.934828160904054,3.8861917170003215,-9.095526218493536,0.00011216649606736076
greybody,01bar_CH4,-17.591523687029756,3.8382342580315068,-8.752221744619238,0.00015810965532420945
greybody,1bar_CH4,-17.15307600402013,3.748590246384024,-8.31377406160961,0.0002451172080506739
greybody,10bar_CH4,-16.73840588000482,3.6396467226509515,-7.899103937594301,0.0003710758986924703
greybody,100bar_CH4,-16.235999703008066,3.515431258583974,-7.396697760597547,0.0006132746005438122
greybody,001bar_N2_1000ppm_CO2,-10.738695215445695,2.1450259557589044,-1.8993932730351766,0.1496593940719986
greybody,01bar_N2_1000ppm_CO2,-12.562381320560664,2.7759797061252667,-3.723079378150146,0.02415945707691187
greybody,1bar_N2_1000ppm_CO2,-11.61749673441179,2.2778073775300647,-2.778194792001271,0.062150600932755894
greybody,10bar_N2_1000ppm_CO2,-15.712618895576089,3.0982420020181136,-6.8733169531655705,0.0010350381912723149
greybody,100bar_N2_1000ppm_CO2,-18.684428223056912,3.690938819665603,-9.845126280646394,5.300489550566539e-05
greybody,001bar_N2_1000ppm_H2O,-10.542983533506046,2.0603848917469687,-1.7036815910955276,0.18201219455590417
greybody,01bar_N2_1000ppm_H2O,-13.308581312578138,2.7125332490909644,-4.4692793701676194,0.011455568100860038
greybody,1bar_N2_1000ppm_H2O,-24.032616899669108,5.480875930131563,-15.19331495725859,2.521315259400714e-07
greybody,10bar_N2_1000ppm_H2O,-27.570237549600574,6.292166751545778,-18.730935607190055,7.332600513769512e-09
greybody,100bar_N2_1000ppm_H2O,-14.943550398479609,3.315592499578257,-6.10424845606909,0.0022333592070613367
greybody,001bar_N2_1000ppm_SO2,-25.2190577615833,5.060801745083044,-16.379755819172782,7.697725724515244e-08
greybody,01bar_N2_1000ppm_SO2,-13.995712381997263,3.304250898107785,-5.156410439586745,0.005762346898589882
greybody,1bar_N2_1000ppm_SO2,-37.58414975462838,8.014394246501114,-28.74484781221786,3.283002489123215e-13
greybody,10bar_N2_1000ppm_SO2,-45.393260269339066,10.073900850753633,-36.55395832692855,1.3329615032221176e-16
greybody,100bar_N2_1000ppm_SO2,-51.12146546019582,11.386741449015064,-42.28216351778531,4.336004270806944e-19
greybody,001bar_N2_1000ppm_CH4,-14.318052318099122,2.832016364094044,-5.478750375688604,0.004174543050344404
greybody,01bar_N2_1000ppm_CH4,-18.23557665792164,3.7747650434210707,-9.396274715511122,8.303281096008111e-05
greybody,1bar_N2_1000ppm_CH4,-19.620365111121345,4.236565608266487,-10.781063168710826,2.0789486231051824e-05
greybody,10bar_N2_1000ppm_CH4,-20.243777951551653,4.433386901548381,-11.404476009141135,1.114548573181075e-05
greybody,100bar_N2_1000ppm_CH4,-20.48408027890777,4.520996168524951,-11.64477833649725,8.764699392772364e-06
