surface,atmosphere,logZ,chi2_red,ΔlnZ,bayes_factor
albite_dust,bare_rock,-16.088231051020493,3.656339651990777,-7.316004532234487,0.0006648131513290276
andesite,bare_rock,-11.253334492313648,2.229924242790281,-2.4811079735276422,0.08365049169795712
basalt_glass,bare_rock,-9.377745938244997,1.8624014291884468,-0.6055194194589912,0.5457908586082075
basalt_large,bare_rock,-9.747479128428207,1.9017133496231728,-0.975252609642201,0.3770970831712988
basalt_small,bare_rock,-9.438301565388034,1.8605460691024682,-0.6660750466020282,0.5137209567711295
basalt_tuff,bare_rock,-10.172579984057267,2.019689945142062,-1.4003534652712606,0.24650981588166848
diorite,bare_rock,-9.533959158978375,1.9334386574435911,-0.7617326401923687,0.46685683093373775
gabbro,bare_rock,-9.496124773941437,1.87098254454,-0.7238982551554312,0.4848584651069679
granite,bare_rock,-9.666137199553436,1.9379062100889493,-0.89391068076743,0.40905294527491104
harzburgite,bare_rock,-10.917795764090453,2.180716591071403,-2.145569245304447,0.1170014155775157
hematite,bare_rock,-9.59977274711201,1.905743388060893,-0.8275462283260033,0.43712056550852596
lherzolite,bare_rock,-10.106332015990564,1.9902644582061135,-1.3341054972045576,0.26339367649208245
lunar_anorthosite,bare_rock,-10.863191431656265,2.1965132456596974,-2.090964912870259,0.12356784606958104
lunar_marebasalt,bare_rock,-10.179871318168892,1.9895790790691001,-1.4076447993828864,0.24471896722421507
magnesium_sulphate,bare_rock,-23.056244499629777,5.361570404876589,-14.284017980843771,6.259358289008972e-07
mars_basalticshergottite,bare_rock,-9.710590863487276,1.8967313635288598,-0.9383643447012702,0.3912672906689251
mars_breccia,bare_rock,-12.236190097758081,2.4851792693681984,-3.4639635789720753,0.03130543422880588
norite,bare_rock,-9.495161053225887,1.8593300626168383,-0.7229345344398812,0.4853259584842449
phonolite,bare_rock,-9.481308482728807,1.8535584865036245,-0.7090819639428005,0.4920957518014165
pyrite,bare_rock,-8.772226518786006,1.7377116497143874,0.0,1.0
rhyolite,bare_rock,-9.870676522812602,1.985234984950409,-1.0984500040265956,0.3333874326034596
syenite,bare_rock,-10.030265897309468,1.9638273932562562,-1.2580393785234616,0.28421071022073585
tephrite,bare_rock,-9.328328330201604,1.8216537326476618,-0.5561018114155978,0.5734400901562601
tholeiitic_basalt,bare_rock,-12.13357214101579,2.398352461911421,-3.361345622229784,0.03468854984159698
trachy_andesite,bare_rock,-10.331702410485159,2.030695108327049,-1.5594758916991527,0.2102462341261186
trachy_basalt,bare_rock,-10.013800036900475,1.9571631392148963,-1.2415735181144694,0.2889292246940172
trachyte,bare_rock,-10.275827009816107,2.019613181436029,-1.5036004910301006,0.22232822655195528
ultramafic,bare_rock,-12.359584821690232,2.679441510995859,-3.587358302904226,0.027671333235780953
