surface,atmosphere,logZ,logZ_err,ΔlnZ,bayes_factor
greybody,001bar_CO2,-35.045879237898816,0.11019925876201639,-22.408925003501245,1.8532223346764814e-10
greybody,01bar_CO2,-59.95539472960264,0.1372928815907941,-47.31844049520507,2.81749011267194e-21
greybody,1bar_CO2,-73.20479203467833,0.14633963121032706,-60.56783780028076,4.9627484515246174e-27
greybody,10bar_CO2,-54.01394582131826,0.08530154548622765,-41.37699158692069,1.0720150341802392e-18
greybody,100bar_CO2,-37.376460142058804,0.035542166464673675,-24.739505907661233,1.802059387847587e-11
greybody,001bar_H2O,-12.56574797806729,0.04929534293052921,0.07120625633028332,1.0738026816298074
greybody,01bar_H2O,-12.339098624961927,0.03895784178469362,0.29785560943564526,1.3469672844712914
greybody,1bar_H2O,-12.203138463197384,0.03646643846054329,0.4338157712001891,1.5431345521012116
greybody,10bar_H2O,-12.22247362962966,0.03650574081905251,0.41448060476791326,1.5135843879813236
greybody,100bar_H2O,-12.200631806914352,0.03647436463678663,0.4363224274832209,1.5470075120836144
greybody,001bar_SO2,-100.23641807175106,0.10534813831659774,-87.59946383735348,9.03724877842885e-39
greybody,01bar_SO2,-113.75432166726289,0.19292714319111523,-101.11736743286531,1.2169852072934226e-44
greybody,1bar_SO2,-134.52306187395814,0.17266092862689994,-121.88610763956056,1.1628830262110336e-53
greybody,10bar_SO2,-142.36461936246326,0.2165926197336359,-129.7276651280657,4.5707859599157145e-57
greybody,100bar_SO2,-150.00662739764326,0.14817575441524006,-137.3696731632457,2.1933551784453824e-60
greybody,001bar_CH4,-25.80188972772211,0.02798451746558302,-13.164935493324537,1.916642705605402e-06
greybody,01bar_CH4,-23.636035813399683,0.022396930111711042,-10.99908157900211,1.6717047029027146e-05
greybody,1bar_CH4,-20.725245781762954,0.02027901947532187,-8.088291547365381,0.0003071139989050695
greybody,10bar_CH4,-19.31354193078905,0.021535382828127263,-6.676587696391477,0.001260070387616329
greybody,100bar_CH4,-18.811396400256523,0.02109633664225222,-6.174442165858951,0.0020819669858428667
greybody,001bar_N2_1000ppm_CO2,-17.462214528771586,0.08078475635217591,-4.825260294374013,0.008024464875468585
greybody,01bar_N2_1000ppm_CO2,-20.64218181804894,0.09868962449391756,-8.005227583651367,0.00033371354467587425
greybody,1bar_N2_1000ppm_CO2,-42.60554743407031,0.10555570187824126,-29.96859319967274,9.656179781413979e-14
greybody,10bar_N2_1000ppm_CO2,-70.59634724240136,0.12835005581489226,-57.959393008003794,6.738379123272247e-26
greybody,100bar_N2_1000ppm_CO2,-89.00083723476384,0.12895362915770817,-76.36388300036626,6.8483665325178185e-34
greybody,001bar_N2_1000ppm_H2O,-15.41873520737627,0.06875657284054298,-2.781780972978698,0.06192811680257454
greybody,01bar_N2_1000ppm_H2O,-11.764100738466508,0.05092331071928828,0.8728534959310643,2.393731620820345
greybody,1bar_N2_1000ppm_H2O,-21.392554852579554,0.023757703988102796,-8.755600618181981,0.00015757632432623501
greybody,10bar_N2_1000ppm_H2O,-22.774840076328566,0.06920317209520883,-10.137885841930993,3.9552334381854945e-05
greybody,100bar_N2_1000ppm_H2O,-22.96499818139915,0.07193167640577372,-10.328043947001577,3.270299326803471e-05
greybody,001bar_N2_1000ppm_SO2,-49.78320394465575,0.021514830245379767,-37.14624971025818,7.37205772912704e-17
greybody,01bar_N2_1000ppm_SO2,-98.72968300886217,0.019138119384465933,-86.09272877446459,4.077584420602568e-38
greybody,1bar_N2_1000ppm_SO2,-111.60182120350004,0.05501967279749737,-98.96486696910246,1.047380232374084e-43
greybody,10bar_N2_1000ppm_SO2,-112.47682265514024,0.15948562377127928,-99.83986842074266,4.36612405234226e-44
greybody,100bar_N2_1000ppm_SO2,-138.9901235031272,0.14277046750931938,-126.35316926872962,1.3351062089356847e-55
greybody,001bar_N2_1000ppm_CH4,-15.99213428227695,0.06043368346955953,-3.3551800478793776,0.03490308536248773
greybody,01bar_N2_1000ppm_CH4,-23.022028911519936,0.045409036858971456,-10.385074677122363,3.0890104220299604e-05
