surface,atmosphere,logZ,chi2_red,ΔlnZ,bayes_factor
greybody,001bar_CO2,-8.17754986928713,16.587566067346867,-7.506868188329364,0.0005492986977685275
greybody,01bar_CO2,-10.921357126282674,22.65316003780141,-10.250675445324909,3.533362685545692e-05
greybody,1bar_CO2,-47.65480111803258,95.33229317632629,-46.98411943707482,3.936009984110156e-21
greybody,10bar_CO2,-11.372696756857295,23.477339703581702,-10.70201507589953,2.249955389364585e-05
greybody,100bar_CO2,-11.380024178204598,23.463427439402302,-10.709342497246833,2.233529272249306e-05
greybody,001bar_H2O,-6.176848965271914,14.691500329662663,-5.506167284314148,0.004061644718530986
greybody,01bar_H2O,-5.032368916125432,11.52726290456394,-4.3616872351676665,0.012756845682799726
greybody,1bar_H2O,-5.025228961985741,11.229307605964106,-4.354547281027975,0.012848254916481722
greybody,10bar_H2O,-4.9532275706254705,11.20199723789343,-4.282545889667705,0.01380746501903615
greybody,100bar_H2O,-5.067182464266424,11.231731917756962,-4.3965007833086585,0.012320376228583577
greybody,001bar_SO2,-16.767478406329115,38.11224240217653,-16.096796725371348,1.0215273666697068e-07
greybody,01bar_SO2,-24.918306706742065,56.36468242825395,-24.2476250257843,2.9470686464335243e-11
greybody,1bar_SO2,-16.592444455666477,34.01742631606912,-15.921762774708712,1.216931925655193e-07
greybody,10bar_SO2,-13.43241600837583,26.774299114704615,-12.761734327418065,2.868462668110726e-06
greybody,100bar_SO2,-12.794590645932185,25.47551119029193,-12.12390896497442,5.428167461904701e-06
greybody,001bar_CH4,-1.7463925870559895,3.582430566863179,-1.075710906098224,0.3410552108688129
greybody,01bar_CH4,-1.3792063291026693,2.877430591500785,-0.7085246481449038,0.49237008097486384
greybody,1bar_CH4,-3.1963190893567255,6.936511992373558,-2.52563740839896,0.0800072992057134
greybody,10bar_CH4,-5.425356898433805,11.445256887645309,-4.75467521747604,0.008611341052229287
greybody,100bar_CH4,-10.077308951298546,21.102032012869085,-9.406627270340781,8.21776434539332e-05
greybody,001bar_N2_1000ppm_CO2,-3.7276382558652585,7.949873468350638,-3.056956574907493,0.04703061177575385
greybody,01bar_N2_1000ppm_CO2,-14.200604944025695,28.299962504073328,-13.52992326306793,1.3305432199464735e-06
greybody,1bar_N2_1000ppm_CO2,-15.490733682964455,31.443875836839446,-14.82005200200669,3.6621252524268483e-07
greybody,10bar_N2_1000ppm_CO2,-18.439391218152455,37.715163218240654,-17.768709537194688,1.919320480053622e-08
greybody,100bar_N2_1000ppm_CO2,-19.159875498410543,39.080694745017325,-18.489193817452776,9.337812522341388e-09
greybody,001bar_N2_1000ppm_H2O,-3.9410439247276523,9.30970694332867,-3.270362243769887,0.03799266197706171
greybody,01bar_N2_1000ppm_H2O,-5.158763094391192,12.088841394554612,-4.488081413433426,0.01124219225073539
greybody,1bar_N2_1000ppm_H2O,-6.726536886065314,15.20971053355092,-6.055855205107548,0.0023440965798522603
greybody,10bar_N2_1000ppm_H2O,-3.1969587739982113,6.435095967069136,-2.526277093040446,0.07995613613106592
greybody,100bar_N2_1000ppm_H2O,-3.0421093163516773,6.050386324081527,-2.371427635393912,0.09334736510279308
greybody,001bar_N2_1000ppm_SO2,-6.003958222027966,14.681838125337162,-5.3332765410702,0.004828224191823973
greybody,01bar_N2_1000ppm_SO2,-9.329077771609265,23.45478566749716,-8.6583960906515,0.00017366262275126174
greybody,1bar_N2_1000ppm_SO2,-15.460999979722892,34.101489473446705,-14.790318298765127,3.772648792346176e-07
greybody,10bar_N2_1000ppm_SO2,-32.4045485688163,74.61982536615811,-31.733866887858536,1.6525580389912416e-14
greybody,100bar_N2_1000ppm_SO2,-23.436153761968274,48.72952932763022,-22.765472081010508,1.2974215203250043e-10
greybody,001bar_N2_1000ppm_CH4,-3.989065664296472,9.28735060013445,-3.3183839833387068,0.03621130256469123
greybody,01bar_N2_1000ppm_CH4,-4.683907559922359,11.203492508032225,-4.013225878964593,0.01807499334790806
greybody,1bar_N2_1000ppm_CH4,-5.9242642113320585,14.19243765018093,-5.253582530374293,0.005228752639649213
greybody,10bar_N2_1000ppm_CH4,-8.131131713879538,20.398915840416947,-7.460450032921773,0.0005753971655434574
greybody,100bar_N2_1000ppm_CH4,-0.786413380187163,1.4201831222582217,-0.11573169922939752,0.890714170539517
greybody,001bar_N2_1ppm_CO2,-134.21316917751167,617.9661823272689,-133.54248749655392,1.0074757016720079e-58
greybody,01bar_N2_1ppm_CO2,-21.097933467105385,61.93638292106913,-20.427251786147618,1.3444890478444261e-09
greybody,1bar_N2_1ppm_CO2,-7.4250005991865216,14.775771123492165,-6.754318918228756,0.0011658335919897992
greybody,10bar_N2_1ppm_CO2,-20.83262388445376,57.203761458064896,-20.161942203495993,1.7529912832490168e-09
greybody,001bar_N2_1ppm_H2O,-266.18086740141285,1444.555714681219,-265.51018572045507,4.9022048184090154e-116
greybody,01bar_N2_1ppm_H2O,-340.3606166462855,1076.5871434801934,-339.6899349653277,2.982192588098145e-148
greybody,1bar_N2_1ppm_H2O,-269.3872944929699,1059.3247347575648,-268.7166128120121,1.98544499586387e-117
greybody,10bar_N2_1ppm_H2O,-184.6749565768657,1019.593597639519,-184.00427489590794,1.2244999341287944e-80
greybody,001bar_N2_1ppm_SO2,-315.029243220283,1459.5730096590773,-314.3585615393252,2.990965368043358e-137
greybody,01bar_N2_1ppm_SO2,-14.284483385244869,39.27440158705257,-13.613801704287104,1.2234917411295215e-06
greybody,1bar_N2_1ppm_SO2,-8.601512268170353,22.010963956917884,-7.930830587212587,0.00035948770300613467
greybody,10bar_N2_1ppm_SO2,-83.68317113971462,304.44050904322484,-83.01248945875685,8.874295767061598e-37
greybody,001bar_N2_1ppm_CH4,-368.32044332890985,1617.7666954780475,-367.64976164795206,2.146531387238488e-160
greybody,01bar_N2_1ppm_CH4,-78.1162037480591,276.8893792543138,-77.44552206710134,2.3218658187955486e-34
greybody,1bar_N2_1ppm_CH4,-84.31446989728113,408.68790345359105,-83.64378821632336,4.7202427315750224e-37
greybody,10bar_N2_1ppm_CH4,-76.0589666452883,344.85948729097527,-75.38828496433052,1.8167026088020063e-33
greybody,100bar_N2_1ppm_CO2,-97.28711033800106,314.3330933859494,-96.61642865704329,1.096524079218888e-42
greybody,100bar_N2_1ppm_H2O,-316.6830826520498,1176.7723961242937,-316.012400971092,5.722134282372475e-138
greybody,100bar_N2_1ppm_SO2,-167.90744912610018,1752.0581944328558,-167.23676744514242,2.3442003542460902e-73
greybody,100bar_N2_1ppm_CH4,-199.91534572878436,1101.9522103115562,-199.2446640478266,2.9453835392228747e-87
