surface,atmosphere,logZ,chi2_red,ΔlnZ,bayes_factor
albite_dust,bare_rock,-16.77728947979134,34.38795533489524,-16.11359495200336,1.0045108423121907e-07
andesite,bare_rock,-1.2087583122603867,2.349020586713428,-0.5450637844724072,0.5798047996171225
basalt_glass,bare_rock,-0.8192993056201469,1.4877538948648967,-0.15560477783216742,0.8558973931571628
basalt_large,bare_rock,-1.2500670196241523,2.458862845886532,-0.5863724918361729,0.5563417630445595
basalt_small,bare_rock,-2.5992138094397372,5.509586083316047,-1.9355192816517577,0.14434929141955333
basalt_tuff,bare_rock,-0.7592949460531065,1.3759358333924905,-0.09560041826512711,0.9088270942311866
diorite,bare_rock,-1.529245055130096,3.0954882983026364,-0.8655505273421166,0.42081981602967866
gabbro,bare_rock,-0.806339338838804,1.4631071165088967,-0.1426448110508246,0.8670619850433827
granite,bare_rock,-1.159515392465773,2.302142176639336,-0.4958208646777936,0.6090707373838915
harzburgite,bare_rock,-1.3061933307128482,2.7284168087180514,-0.6424988029248687,0.5259764690324403
hematite,bare_rock,-0.8516395276584475,1.5593892937065001,-0.1879449998704681,0.8286602824022191
lherzolite,bare_rock,-0.8145801047841312,1.5023677604026844,-0.1508855769961518,0.859946090644784
lunar_anorthosite,bare_rock,-6.458800367601195,13.693244921320003,-5.795105839813216,0.0030424084017117953
lunar_marebasalt,bare_rock,-1.6047489971953612,3.410797668739895,-0.9410544694073818,0.39021614735081506
magnesium_sulphate,bare_rock,-9.419696096269558,19.649354126716645,-8.756001568481578,0.00015751315671616947
mars_basalticshergottite,bare_rock,-0.9748379707498801,1.8304709050614711,-0.31114344296190066,0.7326087807585092
mars_breccia,bare_rock,-0.6636945277879794,1.1944905743615348,0.0,1.0
norite,bare_rock,-1.2744876467994126,2.562754027243324,-0.6107931190114332,0.5429200980192957
phonolite,bare_rock,-0.9163636910689678,1.696915107337046,-0.2526691632809883,0.776724808408209
pyrite,bare_rock,-1.1435145953184274,2.3684283135238355,-0.4798200675304479,0.6188947410473179
rhyolite,bare_rock,-2.2116305085039363,4.685873803203779,-1.5479359807159567,0.21268651015575368
syenite,bare_rock,-2.5342062130368173,5.57875748112085,-1.8705116852488377,0.1540448191839097
tephrite,bare_rock,-0.9556412973997127,1.7668004782635949,-0.29194676961173327,0.7468082878104658
tholeiitic_basalt,bare_rock,-0.9751844488571861,1.8493467458127246,-0.3114899210692067,0.7323549918234501
trachy_andesite,bare_rock,-3.099509827513034,7.036779004232936,-2.4358152997250544,0.08752635773477217
trachy_basalt,bare_rock,-1.5863651912074057,3.2534377425423937,-0.9226706634194263,0.3974561508023929
trachyte,bare_rock,-3.313305907890302,7.53877679921405,-2.6496113801023227,0.07067867486337581
ultramafic,bare_rock,-1.7029693401809,3.554333678729868,-1.0392748123929207,0.3537110958766613
