surface,atmosphere,logZ,chi2_red,ΔlnZ,bayes_factor
greybody,001bar_CO2,-1.9628287770826347,inf,-1.9295951602313204,0.14520697214287667
greybody,01bar_CO2,-2.8716249317157994,inf,-2.8383913148644853,0.0585197301043768
greybody,1bar_CO2,-2.916954190679008,inf,-2.883720573827694,0.055926297350796385
greybody,10bar_CO2,-2.9931126301235476,inf,-2.9598790132722335,0.05182518695322343
greybody,100bar_CO2,-2.9788953124153656,inf,-2.9456616955640516,0.05256726477976364
greybody,001bar_H2O,-1.762238804880045,inf,-1.7290051880287307,0.17746086237716663
greybody,01bar_H2O,-0.7516810138233169,inf,-0.7184473969720027,0.4875085759668955
greybody,1bar_H2O,-0.7185079096344283,inf,-0.6852742927831141,0.5039519802240812
greybody,10bar_H2O,-0.7362769055216074,inf,-0.7030432886702932,0.49507634862024735
greybody,100bar_H2O,-0.7218409864142437,inf,-0.6886073695629294,0.5022750657754189
greybody,001bar_SO2,-0.6647926590701164,inf,-0.6315590422188022,0.5317621148296826
greybody,01bar_SO2,-0.05758955921923454,inf,-0.024355942367920318,0.9759382701485182
greybody,1bar_SO2,-0.6045777090861469,inf,-0.5713440922348327,0.5647658309545743
greybody,10bar_SO2,-1.518188519509145,inf,-1.4849549026578306,0.22651255556035876
greybody,100bar_SO2,-1.830513704614101,inf,-1.7972800877627866,0.16574909867937312
greybody,001bar_CH4,-0.2559214386836284,inf,-0.22268782183231417,0.8003646666738822
greybody,01bar_CH4,-0.40111135143809923,inf,-0.367877734586785,0.6922018088553251
greybody,1bar_CH4,-1.5875578220996065,inf,-1.5543242052482922,0.2113321515531836
greybody,10bar_CH4,-2.391768779801901,inf,-2.358535162950587,0.09455863478791816
greybody,100bar_CH4,-3.5820190192711636,inf,-3.5487854024198495,0.02875954972860834
greybody,001bar_N2_1000ppm_CO2,-0.21735705778562994,inf,-0.1841234409343157,0.8318331152318751
greybody,01bar_N2_1000ppm_CO2,-2.321488663269384,inf,-2.2882550464180698,0.10144332139018934
greybody,1bar_N2_1000ppm_CO2,-4.217239108807681,inf,-4.184005491956367,0.015237352078395562
greybody,10bar_N2_1000ppm_CO2,-4.637888886278684,inf,-4.6046552694273695,0.01000515049153011
greybody,100bar_N2_1000ppm_CO2,-4.705582948780821,inf,-4.672349331929507,0.009350276799178651
greybody,001bar_N2_1000ppm_H2O,-1.6078941929099273,inf,-1.574660576058613,0.2070778279264562
greybody,01bar_N2_1000ppm_H2O,-1.9855952645227783,inf,-1.952361647671464,0.14193846680275254
greybody,1bar_N2_1000ppm_H2O,-1.5945110295691978,inf,-1.5612774127178835,0.20986781208620753
greybody,10bar_N2_1000ppm_H2O,-0.27096878248998063,inf,-0.23773516563866642,0.7884114618936882
greybody,100bar_N2_1000ppm_H2O,-0.21573829091402547,inf,-0.18250467406271126,0.8331807495801559
greybody,001bar_N2_1000ppm_SO2,-2.4258904010237954,inf,-2.3926567841724813,0.09138656668161227
greybody,01bar_N2_1000ppm_SO2,-3.7485758621194942,inf,-3.71534224526818,0.024347107006783546
greybody,1bar_N2_1000ppm_SO2,-0.3129636473580853,inf,-0.2797300305067711,0.7559878075539681
