surface,atmosphere,logZ,chi2_red,ΔlnZ,bayes_factor
albite_dust,bare_rock,-3.2336803278292257,inf,-3.2017913747823274,0.04068924895848824
andesite,bare_rock,-0.476741929262586,inf,-0.444852976215688,0.6409184993688261
basalt_glass,bare_rock,-0.05021552753744479,inf,-0.018326574490546775,0.9818403359880005
basalt_large,bare_rock,-0.3781892374418066,inf,-0.34630028439490856,0.7073000640426824
basalt_small,bare_rock,-0.295966310126513,inf,-0.26407735707961494,0.7679141337642196
basalt_tuff,bare_rock,-0.06478825107990294,inf,-0.03289929803300492,0.96763599753114
diorite,bare_rock,-0.0732682956738975,inf,-0.04137934262699949,0.9594650948955458
gabbro,bare_rock,-0.04060592680813083,inf,-0.008716973761232809,0.991320908900575
granite,bare_rock,-0.03188895304689802,inf,0.0,1.0
harzburgite,bare_rock,-0.04840976583427412,inf,-0.016520812787376105,0.9836149074097057
hematite,bare_rock,-0.14514159684147093,inf,-0.11325264379457292,0.8929250396461245
lherzolite,bare_rock,-0.05412412392498415,inf,-0.02223517087808613,0.9780102084849888
lunar_anorthosite,bare_rock,-1.0757827061469871,inf,-1.0438937531000891,0.35208109263944837
lunar_marebasalt,bare_rock,-0.6722750055071753,inf,-0.6403860524602774,0.5270889007933145
magnesium_sulphate,bare_rock,-1.638307328049214,inf,-1.606418375002316,0.2006048201653787
mars_basalticshergottite,bare_rock,-0.18622091613546982,inf,-0.1543319630885718,0.8569874855738606
mars_breccia,bare_rock,-0.2400698856581586,inf,-0.20818093261126058,0.8120600952655531
norite,bare_rock,-0.4759097048085565,inf,-0.44402075176165845,0.6414521094279126
phonolite,bare_rock,-0.16549956702985538,inf,-0.13361061398295737,0.8749306840570574
pyrite,bare_rock,-0.7518312217401556,inf,-0.7199422686932576,0.4867803576149328
rhyolite,bare_rock,-0.1966078666453137,inf,-0.1647189135984157,0.8481320689771189
syenite,bare_rock,-0.9508123259211895,inf,-0.9189233728742915,0.39894832854405243
tephrite,bare_rock,-0.16442451618562712,inf,-0.1325355631387291,0.8758717848025311
tholeiitic_basalt,bare_rock,-0.5585807359872259,inf,-0.5266917829403279,0.5905554271699611
trachy_andesite,bare_rock,-1.234452364661975,inf,-1.202563411615077,0.3004231159114591
trachy_basalt,bare_rock,-0.5173650335335892,inf,-0.48547608048669116,0.6154041451068181
trachyte,bare_rock,-1.3233779381490758,inf,-1.2914889851021778,0.2748612139914802
ultramafic,bare_rock,-0.08767940232148283,inf,-0.05579044927458481,0.9457372950637046
