#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          585996          61404.3         7.59143e-07             
1       0.24506125        0.245030625          6.12576563e-05     572528          59993.1         7.59143e-07             
2       0.245122515       0.245091883          6.12729707e-05     559058          58581.7         7.59143e-07             
3       0.245183796       0.245153156          6.12882889e-05     545585          57169.8         7.59143e-07             
4       0.245245092       0.245214444          6.1303611e-05      532108          55757.7         7.59143e-07             
5       0.245306403       0.245275748          6.13189369e-05     518628          54345.1         7.59143e-07             
6       0.24536773        0.245337066          6.13342666e-05     505145          52932.2         7.59143e-07             
7       0.245429072       0.245398401          6.13496002e-05     491658          51519           7.59143e-07             
8       0.245490429       0.24545975           6.13649376e-05     478168          50105.4         7.59143e-07             
9       0.245551802       0.245521115          6.13802788e-05     464674          48691.5         7.59143e-07             
10      0.24561319        0.245582496          6.13956239e-05     451177          47277.2         7.59143e-07             
11      0.245674593       0.245643891          6.14109728e-05     444333          46560.1         7.59143e-07             
12      0.245736011       0.245705302          6.14263255e-05     450313          47186.6         7.59143e-07             
13      0.245797445       0.245766728          6.14416821e-05     456615          47847           7.59143e-07             
14      0.245858895       0.24582817           6.14570425e-05     462918          48507.5         7.59143e-07             
15      0.24592036        0.245889627          6.14724068e-05     469223          49168.2         7.59143e-07             
16      0.24598184        0.2459511            6.14877749e-05     475530          49829           7.59143e-07             
17      0.246043335       0.246012587          6.15031468e-05     481838          50490.1         7.59143e-07             
18      0.246104846       0.246074091          6.15185226e-05     488148          51151.2         7.59143e-07             
19      0.246166372       0.246135609          6.15339023e-05     494459          51812.6         7.59143e-07             
20      0.246227914       0.246197143          6.15492857e-05     500772          52474.1         7.59143e-07             
21      0.246289471       0.246258692          6.15646731e-05     507087          53135.8         7.59143e-07             
22      0.246351043       0.246320257          6.15800642e-05     513403          53797.6         7.59143e-07             
23      0.246412631       0.246381837          6.15954592e-05     519721          54459.6         7.59143e-07             
24      0.246474234       0.246443432          6.16108581e-05     526040          55121.8         7.59143e-07             
25      0.246535853       0.246505043          6.16262608e-05     532361          55784.1         7.59143e-07             
26      0.246597487       0.24656667           6.16416674e-05     538683          56446.6         7.59143e-07             
27      0.246659136       0.246628311          6.16570778e-05     546346          57249.6         7.59143e-07             
28      0.246720801       0.246689968          6.16724921e-05     556337          58296.5         7.59143e-07             
29      0.246782481       0.246751641          6.16879102e-05     566372          59348           7.59143e-07             
30      0.246844177       0.246813329          6.17033322e-05     576409          60399.8         7.59143e-07             
31      0.246905888       0.246875032          6.1718758e-05      586449          61451.8         7.59143e-07             
32      0.246967614       0.246936751          6.17341877e-05     596492          62504.1         7.59143e-07             
33      0.247029356       0.246998485          6.17496212e-05     606537          63556.7         7.59143e-07             
34      0.247091113       0.247060235          6.17650586e-05     616584          64609.6         7.59143e-07             
35      0.247152886       0.247122             6.17804999e-05     626634          65662.7         7.59143e-07             
36      0.247214674       0.24718378           6.1795945e-05      636687          66716           7.59143e-07             
37      0.247276478       0.247245576          6.1811394e-05      646742          67769.7         7.59143e-07             
38      0.247338297       0.247307387          6.18268469e-05     656799          68823.6         7.59143e-07             
39      0.247400132       0.247369214          6.18423036e-05     666859          69877.7         7.59143e-07             
40      0.247461982       0.247431057          6.18577642e-05     676922          70932.1         7.59143e-07             
41      0.247523847       0.247492914          6.18732286e-05     686987          71986.8         7.59143e-07             
42      0.247585728       0.247554788          6.18886969e-05     697055          73041.8         7.59143e-07             
43      0.247647625       0.247616676          6.19041691e-05     694117          72733.9         7.59143e-07             
44      0.247709536       0.247678581          6.19196451e-05     670818          70292.6         7.59143e-07             
45      0.247771464       0.2477405            6.1935125e-05      647271          67825.2         7.59143e-07             
46      0.247833407       0.247802435          6.19506088e-05     623718          65357.1         7.59143e-07             
47      0.247895365       0.247864386          6.19660965e-05     600160          62888.5         7.59143e-07             
48      0.247957339       0.247926352          6.1981588e-05      576595          60419.3         7.59143e-07             
49      0.248019328       0.247988334          6.19970834e-05     553024          57949.4         7.59143e-07             
50      0.248081333       0.248050331          6.20125827e-05     529448          55478.9         7.59143e-07             
51      0.248143353       0.248112343          6.20280858e-05     505866          53007.8         7.59143e-07             
52      0.248205389       0.248174371          6.20435928e-05     482277          50536.1         7.59143e-07             
53      0.248267441       0.248236415          6.20591037e-05     458683          48063.7         7.59143e-07             
54      0.248329507       0.248298474          6.20746185e-05     435083          45590.8         7.59143e-07             
55      0.24839159        0.248360549          6.20901372e-05     411477          43117.2         7.59143e-07             
56      0.248453688       0.248422639          6.21056597e-05     387865          40643           7.59143e-07             
57      0.248515801       0.248484744          6.21211861e-05     364248          38168.2         7.59143e-07             
58      0.24857793        0.248546866          6.21367164e-05     340624          35692.7         7.59143e-07             
59      0.248640075       0.248609002          6.21522506e-05     334914          35094.4         7.59143e-07             
60      0.248702235       0.248671155          6.21677886e-05     354411          37137.4         7.59143e-07             
61      0.24876441        0.248733322          6.21833306e-05     374090          39199.5         7.59143e-07             
62      0.248826601       0.248795506          6.21988764e-05     393773          41262.1         7.59143e-07             
63      0.248888808       0.248857705          6.22144261e-05     413462          43325.2         7.59143e-07             
64      0.24895103        0.248919919          6.22299798e-05     433156          45388.8         7.59143e-07             
65      0.249013268       0.248982149          6.22455372e-05     452854          47452.9         7.59143e-07             
66      0.249075521       0.249044395          6.22610986e-05     472557          49517.5         7.59143e-07             
67      0.24913779        0.249106656          6.22766639e-05     492266          51582.7         7.59143e-07             
68      0.249200075       0.249168932          6.22922331e-05     511979          53648.4         7.59143e-07             
69      0.249262375       0.249231225          6.23078061e-05     531697          55714.6         7.59143e-07             
70      0.24932469        0.249293532          6.23233831e-05     551420          57781.3         7.59143e-07             
71      0.249387021       0.249355856          6.23389639e-05     571148          59848.5         7.59143e-07             
72      0.249449368       0.249418195          6.23545487e-05     590881          61916.2         7.59143e-07             
73      0.24951173        0.249480549          6.23701373e-05     610619          63984.5         7.59143e-07             
74      0.249574108       0.249542919          6.23857298e-05     630362          66053.3         7.59143e-07             
75      0.249636502       0.249605305          6.24013263e-05     639790          67041.2         7.59143e-07             
76      0.249698911       0.249667706          6.24169266e-05     636207          66665.8         7.59143e-07             
77      0.249761336       0.249730123          6.24325308e-05     632581          66285.8         7.59143e-07             
78      0.249823776       0.249792556          6.2448139e-05      628953          65905.7         7.59143e-07             
79      0.249886232       0.249855004          6.2463751e-05      625325          65525.5         7.59143e-07             
80      0.249948704       0.249917468          6.24793669e-05     621696          65145.2         7.59143e-07             
81      0.250011191       0.249979947          6.24949868e-05     618065          64764.8         7.59143e-07             
82      0.250073694       0.250042442          6.25106105e-05     614434          64384.3         7.59143e-07             
83      0.250136212       0.250104953          6.25262382e-05     610802          64003.7         7.59143e-07             
84      0.250198746       0.250167479          6.25418697e-05     607169          63623           7.59143e-07             
85      0.250261296       0.250230021          6.25575052e-05     603536          63242.3         7.59143e-07             
86      0.250323861       0.250292578          6.25731446e-05     599901          62861.4         7.59143e-07             
87      0.250386442       0.250355151          6.25887879e-05     596265          62480.4         7.59143e-07             
88      0.250449039       0.25041774           6.26044351e-05     592629          62099.4         7.59143e-07             
89      0.250511651       0.250480345          6.26200862e-05     588991          61718.2         7.59143e-07             
90      0.250574279       0.250542965          6.26357412e-05     585353          61337           7.59143e-07             
91      0.250636922       0.250605601          6.26514001e-05     588541          61671.1         7.59143e-07             
92      0.250699582       0.250668252          6.2667063e-05      599423          62811.3         7.59143e-07             
93      0.250762256       0.250730919          6.26827297e-05     610313          63952.4         7.59143e-07             
94      0.250824947       0.250793602          6.26984004e-05     621206          65093.9         7.59143e-07             
95      0.250887653       0.2508563            6.2714075e-05      632102          66235.7         7.59143e-07             
96      0.250950375       0.250919014          6.27297535e-05     643001          67377.7         7.59143e-07             
97      0.251013113       0.250981744          6.2745436e-05      653902          68520           7.59143e-07             
98      0.251075866       0.251044489          6.27611223e-05     664807          69662.6         7.59143e-07             
99      0.251138635       0.251107251          6.27768126e-05     675713          70805.5         7.59143e-07             
