#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          585996          83806.6         1.0361e-06              
1       0.24506125        0.245030625          6.12576563e-05     572528          81880.6         1.0361e-06              
2       0.245122515       0.245091883          6.12729707e-05     559058          79954.1         1.0361e-06              
3       0.245183796       0.245153156          6.12882889e-05     545585          78027.2         1.0361e-06              
4       0.245245092       0.245214444          6.1303611e-05      532108          76099.8         1.0361e-06              
5       0.245306403       0.245275748          6.13189369e-05     518628          74172           1.0361e-06              
6       0.24536773        0.245337066          6.13342666e-05     505145          72243.6         1.0361e-06              
7       0.245429072       0.245398401          6.13496002e-05     491658          70314.8         1.0361e-06              
8       0.245490429       0.24545975           6.13649376e-05     478168          68385.5         1.0361e-06              
9       0.245551802       0.245521115          6.13802788e-05     464674          66455.7         1.0361e-06              
10      0.24561319        0.245582496          6.13956239e-05     451177          64525.4         1.0361e-06              
11      0.245674593       0.245643891          6.14109728e-05     444333          63546.7         1.0361e-06              
12      0.245736011       0.245705302          6.14263255e-05     450313          64401.8         1.0361e-06              
13      0.245797445       0.245766728          6.14416821e-05     456615          65303.1         1.0361e-06              
14      0.245858895       0.24582817           6.14570425e-05     462918          66204.6         1.0361e-06              
15      0.24592036        0.245889627          6.14724068e-05     469223          67106.3         1.0361e-06              
16      0.24598184        0.2459511            6.14877749e-05     475530          68008.3         1.0361e-06              
17      0.246043335       0.246012587          6.15031468e-05     481838          68910.4         1.0361e-06              
18      0.246104846       0.246074091          6.15185226e-05     488148          69812.8         1.0361e-06              
19      0.246166372       0.246135609          6.15339023e-05     494459          70715.5         1.0361e-06              
20      0.246227914       0.246197143          6.15492857e-05     500772          71618.3         1.0361e-06              
21      0.246289471       0.246258692          6.15646731e-05     507087          72521.4         1.0361e-06              
22      0.246351043       0.246320257          6.15800642e-05     513403          73424.7         1.0361e-06              
23      0.246412631       0.246381837          6.15954592e-05     519721          74328.2         1.0361e-06              
24      0.246474234       0.246443432          6.16108581e-05     526040          75232           1.0361e-06              
25      0.246535853       0.246505043          6.16262608e-05     532361          76136           1.0361e-06              
26      0.246597487       0.24656667           6.16416674e-05     538683          77040.2         1.0361e-06              
27      0.246659136       0.246628311          6.16570778e-05     546346          78136           1.0361e-06              
28      0.246720801       0.246689968          6.16724921e-05     556337          79564.9         1.0361e-06              
29      0.246782481       0.246751641          6.16879102e-05     566372          81000           1.0361e-06              
30      0.246844177       0.246813329          6.17033322e-05     576409          82435.5         1.0361e-06              
31      0.246905888       0.246875032          6.1718758e-05      586449          83871.4         1.0361e-06              
32      0.246967614       0.246936751          6.17341877e-05     596492          85307.7         1.0361e-06              
33      0.247029356       0.246998485          6.17496212e-05     606537          86744.2         1.0361e-06              
34      0.247091113       0.247060235          6.17650586e-05     616584          88181.2         1.0361e-06              
35      0.247152886       0.247122             6.17804999e-05     626634          89618.5         1.0361e-06              
36      0.247214674       0.24718378           6.1795945e-05      636687          91056.2         1.0361e-06              
37      0.247276478       0.247245576          6.1811394e-05      646742          92494.2         1.0361e-06              
38      0.247338297       0.247307387          6.18268469e-05     656799          93932.6         1.0361e-06              
39      0.247400132       0.247369214          6.18423036e-05     666859          95371.3         1.0361e-06              
40      0.247461982       0.247431057          6.18577642e-05     676922          96810.4         1.0361e-06              
41      0.247523847       0.247492914          6.18732286e-05     686987          98249.9         1.0361e-06              
42      0.247585728       0.247554788          6.18886969e-05     697055          99689.7         1.0361e-06              
43      0.247647625       0.247616676          6.19041691e-05     694117          99269.6         1.0361e-06              
44      0.247709536       0.247678581          6.19196451e-05     670818          95937.6         1.0361e-06              
45      0.247771464       0.2477405            6.1935125e-05      647271          92570           1.0361e-06              
46      0.247833407       0.247802435          6.19506088e-05     623718          89201.5         1.0361e-06              
47      0.247895365       0.247864386          6.19660965e-05     600160          85832.3         1.0361e-06              
48      0.247957339       0.247926352          6.1981588e-05      576595          82462.1         1.0361e-06              
49      0.248019328       0.247988334          6.19970834e-05     553024          79091.2         1.0361e-06              
50      0.248081333       0.248050331          6.20125827e-05     529448          75719.4         1.0361e-06              
51      0.248143353       0.248112343          6.20280858e-05     505866          72346.7         1.0361e-06              
52      0.248205389       0.248174371          6.20435928e-05     482277          68973.2         1.0361e-06              
53      0.248267441       0.248236415          6.20591037e-05     458683          65598.9         1.0361e-06              
54      0.248329507       0.248298474          6.20746185e-05     435083          62223.7         1.0361e-06              
55      0.24839159        0.248360549          6.20901372e-05     411477          58847.7         1.0361e-06              
56      0.248453688       0.248422639          6.21056597e-05     387865          55470.9         1.0361e-06              
57      0.248515801       0.248484744          6.21211861e-05     364248          52093.1         1.0361e-06              
58      0.24857793        0.248546866          6.21367164e-05     340624          48714.6         1.0361e-06              
59      0.248640075       0.248609002          6.21522506e-05     334914          47897.9         1.0361e-06              
60      0.248702235       0.248671155          6.21677886e-05     354411          50686.3         1.0361e-06              
61      0.24876441        0.248733322          6.21833306e-05     374090          53500.7         1.0361e-06              
62      0.248826601       0.248795506          6.21988764e-05     393773          56315.8         1.0361e-06              
63      0.248888808       0.248857705          6.22144261e-05     413462          59131.6         1.0361e-06              
