#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          538537          83521.3         1.03258e-06             
1       0.24506125        0.245030625          6.12576563e-05     526160          81523.1         1.03158e-06             
2       0.245122515       0.245091883          6.12729707e-05     513781          79528.3         1.03058e-06             
3       0.245183796       0.245153156          6.12882889e-05     501399          77536.8         1.02959e-06             
4       0.245245092       0.245214444          6.1303611e-05      489013          75548.5         1.0286e-06              
5       0.245306403       0.245275748          6.13189369e-05     476625          73563.6         1.0276e-06              
6       0.24536773        0.245337066          6.13342666e-05     464233          71581.9         1.02661e-06             
7       0.245429072       0.245398401          6.13496002e-05     451839          69603.5         1.02562e-06             
8       0.245490429       0.24545975           6.13649376e-05     439441          67628.4         1.02463e-06             
9       0.245551802       0.245521115          6.13802788e-05     427040          65656.5         1.02364e-06             
10      0.24561319        0.245582496          6.13956239e-05     414637          63687.9         1.02266e-06             
11      0.245674593       0.245643891          6.14109728e-05     408347          62661.4         1.02167e-06             
12      0.245736011       0.245705302          6.14263255e-05     413843          63443.3         1.02068e-06             
13      0.245797445       0.245766728          6.14416821e-05     419634          64269           1.0197e-06              
14      0.245858895       0.24582817           6.14570425e-05     425427          65093.4         1.01871e-06             
15      0.24592036        0.245889627          6.14724068e-05     431221          65916.2         1.01773e-06             
16      0.24598184        0.2459511            6.14877749e-05     437017          66737.7         1.01675e-06             
17      0.246043335       0.246012587          6.15031468e-05     442815          67557.7         1.01576e-06             
18      0.246104846       0.246074091          6.15185226e-05     448613          68376.3         1.01478e-06             
19      0.246166372       0.246135609          6.15339023e-05     454414          69193.4         1.0138e-06              
20      0.246227914       0.246197143          6.15492857e-05     460215          70009.2         1.01282e-06             
21      0.246289471       0.246258692          6.15646731e-05     466018          70823.5         1.01184e-06             
22      0.246351043       0.246320257          6.15800642e-05     471823          71636.3         1.01087e-06             
23      0.246412631       0.246381837          6.15954592e-05     477629          72447.8         1.00989e-06             
24      0.246474234       0.246443432          6.16108581e-05     483437          73257.8         1.00891e-06             
25      0.246535853       0.246505043          6.16262608e-05     489246          74066.5         1.00794e-06             
26      0.246597487       0.24656667           6.16416674e-05     495056          74873.7         1.00697e-06             
27      0.246659136       0.246628311          6.16570778e-05     502098          75865.3         1.00599e-06             
28      0.246720801       0.246689968          6.16724921e-05     511279          77178           1.00502e-06             
29      0.246782481       0.246751641          6.16879102e-05     520502          78494.1         1.00405e-06             
30      0.246844177       0.246813329          6.17033322e-05     529726          79808           1.00308e-06             
31      0.246905888       0.246875032          6.1718758e-05      538953          81119.6         1.00211e-06             
32      0.246967614       0.246936751          6.17341877e-05     548182          82428.9         1.00114e-06             
33      0.247029356       0.246998485          6.17496212e-05     557414          83736           1.00017e-06             
34      0.247091113       0.247060235          6.17650586e-05     566647          85040.8         9.99205e-07             
35      0.247152886       0.247122             6.17804999e-05     575884          86343.4         9.98238e-07             
36      0.247214674       0.24718378           6.1795945e-05      585122          87643.6         9.97273e-07             
37      0.247276478       0.247245576          6.1811394e-05      594363          88941.7         9.96308e-07             
38      0.247338297       0.247307387          6.18268469e-05     603606          90237.4         9.95345e-07             
39      0.247400132       0.247369214          6.18423036e-05     612851          91531           9.94382e-07             
40      0.247461982       0.247431057          6.18577642e-05     622099          92822.2         9.9342e-07              
41      0.247523847       0.247492914          6.18732286e-05     631349          94111.3         9.92459e-07             
42      0.247585728       0.247554788          6.18886969e-05     640601          95398           9.91498e-07             
43      0.247647625       0.247616676          6.19041691e-05     637901          94904.1         9.90539e-07             
44      0.247709536       0.247678581          6.19196451e-05     616489          91629.8         9.8958e-07              
45      0.247771464       0.2477405            6.1935125e-05      594849          88327.9         9.88623e-07             
46      0.247833407       0.247802435          6.19506088e-05     573204          85031.4         9.87666e-07             
47      0.247895365       0.247864386          6.19660965e-05     551553          81740.4         9.8671e-07              
48      0.247957339       0.247926352          6.1981588e-05      529897          78455           9.85755e-07             
49      0.248019328       0.247988334          6.19970834e-05     508236          75175           9.848e-07               
50      0.248081333       0.248050331          6.20125827e-05     486569          71900.4         9.83847e-07             
51      0.248143353       0.248112343          6.20280858e-05     464896          68631.4         9.82894e-07             
52      0.248205389       0.248174371          6.20435928e-05     443218          65367.8         9.81943e-07             
53      0.248267441       0.248236415          6.20591037e-05     421535          62109.6         9.80992e-07             
54      0.248329507       0.248298474          6.20746185e-05     399846          58856.9         9.80042e-07             
55      0.24839159        0.248360549          6.20901372e-05     378152          55609.7         9.79093e-07             
56      0.248453688       0.248422639          6.21056597e-05     356453          52367.9         9.78144e-07             
57      0.248515801       0.248484744          6.21211861e-05     334748          49131.5         9.77197e-07             
58      0.24857793        0.248546866          6.21367164e-05     313037          45900.5         9.7625e-07              
59      0.248640075       0.248609002          6.21522506e-05     307789          45087.3         9.75304e-07             
60      0.248702235       0.248671155          6.21677886e-05     325708          47665.8         9.7436e-07              
61      0.24876441        0.248733322          6.21833306e-05     343793          50263.7         9.73415e-07             
62      0.248826601       0.248795506          6.21988764e-05     361882          52857.2         9.72472e-07             
63      0.248888808       0.248857705          6.22144261e-05     379976          55446.3         9.7153e-07              
64      0.24895103        0.248919919          6.22299798e-05     398075          58031           9.70588e-07             
65      0.249013268       0.248982149          6.22455372e-05     416178          60611.2         9.69648e-07             
66      0.249075521       0.249044395          6.22610986e-05     434285          63187           9.68708e-07             
67      0.24913779        0.249106656          6.22766639e-05     452398          65758.5         9.67769e-07             
68      0.249200075       0.249168932          6.22922331e-05     470514          68325.6         9.66831e-07             
69      0.249262375       0.249231225          6.23078061e-05     488635          70888.2         9.65893e-07             
70      0.24932469        0.249293532          6.23233831e-05     506761          73446.5         9.64957e-07             
71      0.249387021       0.249355856          6.23389639e-05     524891          76000.4         9.64021e-07             
72      0.249449368       0.249418195          6.23545487e-05     543026          78550           9.63086e-07             
73      0.24951173        0.249480549          6.23701373e-05     561165          81095.1         9.62152e-07             
74      0.249574108       0.249542919          6.23857298e-05     579309          83635.9         9.61219e-07             
75      0.249636502       0.249605305          6.24013263e-05     587974          84804.6         9.60287e-07             
76      0.249698911       0.249667706          6.24169266e-05     584681          84247.8         9.59355e-07             
77      0.249761336       0.249730123          6.24325308e-05     581348          83686.3         9.58425e-07             
78      0.249823776       0.249792556          6.2448139e-05      578015          83125.7         9.57495e-07             
79      0.249886232       0.249855004          6.2463751e-05      574680          82566           9.56566e-07             
80      0.249948704       0.249917468          6.24793669e-05     571345          82007.2         9.55638e-07             
81      0.250011191       0.249979947          6.24949868e-05     568009          81449.2         9.54711e-07             
82      0.250073694       0.250042442          6.25106105e-05     564672          80892.1         9.53784e-07             
83      0.250136212       0.250104953          6.25262382e-05     561334          80335.9         9.52859e-07             
84      0.250198746       0.250167479          6.25418697e-05     557995          79780.6         9.51934e-07             
85      0.250261296       0.250230021          6.25575052e-05     554656          79226.2         9.5101e-07              
86      0.250323861       0.250292578          6.25731446e-05     551316          78672.6         9.50087e-07             
87      0.250386442       0.250355151          6.25887879e-05     547974          78119.9         9.49164e-07             
88      0.250449039       0.25041774           6.26044351e-05     544632          77568.1         9.48243e-07             
89      0.250511651       0.250480345          6.26200862e-05     541290          77017.2         9.47322e-07             
90      0.250574279       0.250542965          6.26357412e-05     537946          76467.1         9.46403e-07             
91      0.250636922       0.250605601          6.26514001e-05     540876          76808.9         9.45484e-07             
92      0.250699582       0.250668252          6.2667063e-05      550876          78153           9.44565e-07             
93      0.250762256       0.250730919          6.26827297e-05     560884          79495.7         9.43648e-07             
94      0.250824947       0.250793602          6.26984004e-05     570895          80836           9.42732e-07             
95      0.250887653       0.2508563            6.2714075e-05      580909          82173.9         9.41816e-07             
96      0.250950375       0.250919014          6.27297535e-05     590925          83509.6         9.40901e-07             
97      0.251013113       0.250981744          6.2745436e-05      600943          84842.9         9.39987e-07             
98      0.251075866       0.251044489          6.27611223e-05     610964          86173.9         9.39074e-07             
99      0.251138635       0.251107251          6.27768126e-05     620988          87502.6         9.38162e-07             
100     0.25120142        0.251170027          6.27925068e-05     631014          88829           9.3725e-07              
101     0.25126422        0.25123282           6.2808205e-05      641043          90153           9.36339e-07             
102     0.251327036       0.251295628          6.2823907e-05      651074          91474.7         9.35429e-07             
103     0.251389868       0.251358452          6.2839613e-05      661107          92794.2         9.3452e-07              
104     0.251452715       0.251421292          6.28553229e-05     671143          94111.3         9.33612e-07             
105     0.251515578       0.251484147          6.28710367e-05     681182          95426.1         9.32705e-07             
106     0.251578457       0.251547018          6.28867545e-05     691223          96738.6         9.31798e-07             
107     0.251641352       0.251609905          6.29024762e-05     708628          99078.2         9.30892e-07             
108     0.251704262       0.251672807          6.29182018e-05     733415          102444          9.29987e-07             
109     0.251767188       0.251735725          6.29339313e-05     758209          105804          9.29083e-07             
110     0.25183013        0.251798659          6.29496648e-05     783008          109159          9.2818e-07              
