#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          539754          78080.8         9.65314e-07             
1       0.24506125        0.245030625          6.12576563e-05     527349          76203.4         9.64266e-07             
2       0.245122515       0.245091883          6.12729707e-05     514942          74329.7         9.63218e-07             
3       0.245183796       0.245153156          6.12882889e-05     502532          72459.6         9.62172e-07             
4       0.245245092       0.245214444          6.1303611e-05      490119          70593           9.61127e-07             
5       0.245306403       0.245275748          6.13189369e-05     477702          68729.9         9.60083e-07             
6       0.24536773        0.245337066          6.13342666e-05     465283          66870.3         9.5904e-07              
7       0.245429072       0.245398401          6.13496002e-05     452860          65014.3         9.57999e-07             
8       0.245490429       0.24545975           6.13649376e-05     440435          63161.7         9.56959e-07             
9       0.245551802       0.245521115          6.13802788e-05     428006          61312.7         9.55919e-07             
10      0.24561319        0.245582496          6.13956239e-05     415574          59467.1         9.54881e-07             
11      0.245674593       0.245643891          6.14109728e-05     409270          58501.5         9.53844e-07             
12      0.245736011       0.245705302          6.14263255e-05     414778          59224.4         9.52809e-07             
13      0.245797445       0.245766728          6.14416821e-05     420583          59988           9.51774e-07             
14      0.245858895       0.24582817           6.14570425e-05     426389          60750.1         9.50741e-07             
15      0.24592036        0.245889627          6.14724068e-05     432196          61510.7         9.49709e-07             
16      0.24598184        0.2459511            6.14877749e-05     438005          62269.8         9.48677e-07             
17      0.246043335       0.246012587          6.15031468e-05     443816          63027.3         9.47648e-07             
18      0.246104846       0.246074091          6.15185226e-05     449628          63783.4         9.46619e-07             
19      0.246166372       0.246135609          6.15339023e-05     455441          64537.9         9.45591e-07             
20      0.246227914       0.246197143          6.15492857e-05     461256          65290.9         9.44565e-07             
21      0.246289471       0.246258692          6.15646731e-05     467072          66042.5         9.43539e-07             
22      0.246351043       0.246320257          6.15800642e-05     472890          66792.5         9.42515e-07             
23      0.246412631       0.246381837          6.15954592e-05     478709          67541           9.41492e-07             
24      0.246474234       0.246443432          6.16108581e-05     484529          68288           9.4047e-07              
25      0.246535853       0.246505043          6.16262608e-05     490351          69033.6         9.3945e-07              
26      0.246597487       0.24656667           6.16416674e-05     496175          69777.6         9.3843e-07              
27      0.246659136       0.246628311          6.16570778e-05     503233          70693.4         9.37412e-07             
28      0.246720801       0.246689968          6.16724921e-05     512435          71908           9.36394e-07             
29      0.246782481       0.246751641          6.16879102e-05     521678          73125.6         9.35378e-07             
30      0.246844177       0.246813329          6.17033322e-05     530924          74340.8         9.34363e-07             
31      0.246905888       0.246875032          6.1718758e-05      540171          75553.6         9.33349e-07             
32      0.246967614       0.246936751          6.17341877e-05     549421          76764           9.32337e-07             
33      0.247029356       0.246998485          6.17496212e-05     558674          77972.1         9.31325e-07             
34      0.247091113       0.247060235          6.17650586e-05     567928          79177.7         9.30315e-07             
35      0.247152886       0.247122             6.17804999e-05     577185          80380.9         9.29305e-07             
36      0.247214674       0.24718378           6.1795945e-05      586445          81581.8         9.28297e-07             
37      0.247276478       0.247245576          6.1811394e-05      595706          82780.3         9.2729e-07              
38      0.247338297       0.247307387          6.18268469e-05     604970          83976.5         9.26284e-07             
39      0.247400132       0.247369214          6.18423036e-05     614236          85170.2         9.25279e-07             
40      0.247461982       0.247431057          6.18577642e-05     623505          86361.6         9.24276e-07             
41      0.247523847       0.247492914          6.18732286e-05     632776          87550.6         9.23273e-07             
42      0.247585728       0.247554788          6.18886969e-05     642049          88737.3         9.22272e-07             
43      0.247647625       0.247616676          6.19041691e-05     639343          88267.5         9.21271e-07             
44      0.247709536       0.247678581          6.19196451e-05     617883          85212.2         9.20272e-07             
45      0.247771464       0.2477405            6.1935125e-05      596194          82131.9         9.19274e-07             
46      0.247833407       0.247802435          6.19506088e-05     574500          79057.5         9.18277e-07             
47      0.247895365       0.247864386          6.19660965e-05     552800          75988.9         9.17281e-07             
48      0.247957339       0.247926352          6.1981588e-05      531095          72926.1         9.16286e-07             
49      0.248019328       0.247988334          6.19970834e-05     509384          69869.1         9.15293e-07             
50      0.248081333       0.248050331          6.20125827e-05     487668          66817.9         9.143e-07               
51      0.248143353       0.248112343          6.20280858e-05     465947          63772.5         9.13309e-07             
52      0.248205389       0.248174371          6.20435928e-05     444220          60732.9         9.12319e-07             
53      0.248267441       0.248236415          6.20591037e-05     422488          57699.1         9.11329e-07             
54      0.248329507       0.248298474          6.20746185e-05     400750          54671           9.10341e-07             
55      0.24839159        0.248360549          6.20901372e-05     379007          51648.7         9.09354e-07             
56      0.248453688       0.248422639          6.21056597e-05     357258          48632.2         9.08368e-07             
57      0.248515801       0.248484744          6.21211861e-05     335504          45621.4         9.07384e-07             
58      0.24857793        0.248546866          6.21367164e-05     313745          42616.3         9.064e-07               
59      0.248640075       0.248609002          6.21522506e-05     308485          41856.5         9.05417e-07             
60      0.248702235       0.248671155          6.21677886e-05     326444          44245.2         9.04436e-07             
61      0.24876441        0.248733322          6.21833306e-05     344570          46651.3         9.03456e-07             
62      0.248826601       0.248795506          6.21988764e-05     362700          49052.7         9.02476e-07             
63      0.248888808       0.248857705          6.22144261e-05     380835          51449.5         9.01498e-07             
64      0.24895103        0.248919919          6.22299798e-05     398975          53841.7         9.00521e-07             
65      0.249013268       0.248982149          6.22455372e-05     417119          56229.2         8.99545e-07             
66      0.249075521       0.249044395          6.22610986e-05     435267          58612.1         8.9857e-07              
67      0.24913779        0.249106656          6.22766639e-05     453420          60990.4         8.97597e-07             
68      0.249200075       0.249168932          6.22922331e-05     471578          63364.1         8.96624e-07             
69      0.249262375       0.249231225          6.23078061e-05     489740          65733.1         8.95652e-07             
70      0.24932469        0.249293532          6.23233831e-05     507907          68097.6         8.94682e-07             
71      0.249387021       0.249355856          6.23389639e-05     526078          70457.5         8.93712e-07             
72      0.249449368       0.249418195          6.23545487e-05     544254          72812.8         8.92744e-07             
73      0.24951173        0.249480549          6.23701373e-05     562434          75163.5         8.91777e-07             
74      0.249574108       0.249542919          6.23857298e-05     580619          77509.7         8.9081e-07              
75      0.249636502       0.249605305          6.24013263e-05     589303          78583.8         8.89845e-07             
76      0.249698911       0.249667706          6.24169266e-05     586003          78059           8.88881e-07             
77      0.249761336       0.249730123          6.24325308e-05     582663          77530           8.87918e-07             
78      0.249823776       0.249792556          6.2448139e-05      579321          77001.9         8.86956e-07             
79      0.249886232       0.249855004          6.2463751e-05      575979          76474.7         8.85996e-07             
80      0.249948704       0.249917468          6.24793669e-05     572637          75948.5         8.85036e-07             
81      0.250011191       0.249979947          6.24949868e-05     569293          75423.3         8.84077e-07             
82      0.250073694       0.250042442          6.25106105e-05     565948          74898.9         8.8312e-07              
83      0.250136212       0.250104953          6.25262382e-05     562603          74375.6         8.82163e-07             
84      0.250198746       0.250167479          6.25418697e-05     559257          73853.1         8.81208e-07             
85      0.250261296       0.250230021          6.25575052e-05     555910          73331.6         8.80253e-07             
86      0.250323861       0.250292578          6.25731446e-05     552562          72811.1         8.793e-07               
87      0.250386442       0.250355151          6.25887879e-05     549213          72291.4         8.78348e-07             
88      0.250449039       0.25041774           6.26044351e-05     545864          71772.7         8.77396e-07             
89      0.250511651       0.250480345          6.26200862e-05     542513          71255           8.76446e-07             
90      0.250574279       0.250542965          6.26357412e-05     539162          70738.1         8.75497e-07             
91      0.250636922       0.250605601          6.26514001e-05     542099          71046.4         8.74549e-07             
92      0.250699582       0.250668252          6.2667063e-05      552121          72281.6         8.73602e-07             
93      0.250762256       0.250730919          6.26827297e-05     562152          73515.1         8.72656e-07             
94      0.250824947       0.250793602          6.26984004e-05     572186          74746.3         8.71712e-07             
95      0.250887653       0.2508563            6.2714075e-05      582222          75975           8.70768e-07             
96      0.250950375       0.250919014          6.27297535e-05     592261          77201.2         8.69825e-07             
97      0.251013113       0.250981744          6.2745436e-05      602302          78425.1         8.68883e-07             
98      0.251075866       0.251044489          6.27611223e-05     612346          79646.6         8.67943e-07             
99      0.251138635       0.251107251          6.27768126e-05     622392          80865.6         8.67003e-07             
100     0.25120142        0.251170027          6.27925068e-05     632441          82082.3         8.66065e-07             
101     0.25126422        0.25123282           6.2808205e-05      642492          83296.5         8.65127e-07             
102     0.251327036       0.251295628          6.2823907e-05      652545          84508.4         8.64191e-07             
103     0.251389868       0.251358452          6.2839613e-05      662602          85717.9         8.63255e-07             
104     0.251452715       0.251421292          6.28553229e-05     672660          86924.9         8.62321e-07             
105     0.251515578       0.251484147          6.28710367e-05     682722          88129.6         8.61388e-07             
106     0.251578457       0.251547018          6.28867545e-05     692786          89331.9         8.60456e-07             
107     0.251641352       0.251609905          6.29024762e-05     710230          91482.2         8.59524e-07             
108     0.251704262       0.251672807          6.29182018e-05     735073          94579.7         8.58594e-07             
109     0.251767188       0.251735725          6.29339313e-05     759923          97671.2         8.57665e-07             
110     0.25183013        0.251798659          6.29496648e-05     784778          100757          8.56737e-07             
111     0.251893088       0.251861609          6.29654022e-05     809640          103836          8.5581e-07              
112     0.251956061       0.251924574          6.29811436e-05     834508          106910          8.54884e-07             
113     0.25201905        0.251987555          6.29968889e-05     859382          109977          8.53959e-07             
114     0.252082055       0.252050552          6.30126381e-05     884263          113039          8.53035e-07             
115     0.252145075       0.252113565          6.30283913e-05     909150          116094          8.52112e-07             
116     0.252208112       0.252176593          6.30441484e-05     934042          119144          8.5119e-07              
117     0.252271164       0.252239638          6.30599094e-05     958942          122188          8.50269e-07             
118     0.252334231       0.252302697          6.30756744e-05     983847          125226          8.49349e-07             
119     0.252397315       0.252365773          6.30914433e-05     1.00876e+06     128258          8.48431e-07             
120     0.252460414       0.252428865          6.31072161e-05     1.03368e+06     131284          8.47513e-07             
121     0.252523529       0.252491972          6.31229929e-05     1.0586e+06      134304          8.46596e-07             
122     0.25258666        0.252555095          6.31387737e-05     1.08356e+06     137322          8.4568e-07              
123     0.252649807       0.252618234          6.31545584e-05     1.14667e+06     145162          8.44766e-07             
124     0.252712969       0.252681388          6.3170347e-05      1.24379e+06     157287          8.43852e-07             
125     0.252776148       0.252744558          6.31861396e-05     1.34093e+06     169388          8.42939e-07             
126     0.252839342       0.252807745          6.32019362e-05     1.4381e+06      181465          8.42028e-07             
127     0.252902551       0.252870947          6.32177366e-05     1.53529e+06     193520          8.41117e-07             
128     0.252965777       0.252934164          6.32335411e-05     1.6325e+06      205551          8.40207e-07             
129     0.253029019       0.252997398          6.32493495e-05     1.72974e+06     217559          8.39299e-07             
130     0.253092276       0.253060647          6.32651618e-05     1.82701e+06     229544          8.38391e-07             
131     0.253155549       0.253123912          6.32809781e-05     1.92429e+06     241506          8.37484e-07             
132     0.253218838       0.253187193          6.32967983e-05     2.02161e+06     253444          8.36579e-07             
133     0.253282142       0.25325049           6.33126225e-05     2.11894e+06     265360          8.35674e-07             
134     0.253345463       0.253313803          6.33284507e-05     2.2163e+06      277253          8.34771e-07             
135     0.253408799       0.253377131          6.33442828e-05     2.31369e+06     289122          8.33868e-07             
136     0.253472152       0.253440475          6.33601189e-05     2.4111e+06      300969          8.32967e-07             
137     0.25353552        0.253503836          6.33759589e-05     2.50853e+06     312793          8.32066e-07             
138     0.253598903       0.253567212          6.33918029e-05     2.60589e+06     324582          8.31166e-07             
139     0.253662303       0.253630603          6.34076508e-05     2.67215e+06     332474          8.30268e-07             
140     0.253725719       0.253694011          6.34235028e-05     2.71363e+06     337271          8.2937e-07              
141     0.25378915        0.253757435          6.34393586e-05     2.75513e+06     342059          8.28474e-07             
142     0.253852598       0.253820874          6.34552185e-05     2.79664e+06     346837          8.27578e-07             
143     0.253916061       0.253884329          6.34710823e-05     2.83816e+06     351606          8.26684e-07             
144     0.25397954        0.2539478            6.348695e-05       2.87969e+06     356365          8.2579e-07              
145     0.254043035       0.254011287          6.35028218e-05     2.92123e+06     361115          8.24898e-07             
146     0.254106545       0.25407479           6.35186975e-05     2.96278e+06     365856          8.24006e-07             
147     0.254170072       0.254138309          6.35345772e-05     3.00434e+06     370587          8.23116e-07             
148     0.254233614       0.254201843          6.35504608e-05     3.04592e+06     375309          8.22226e-07             
149     0.254297173       0.254265394          6.35663484e-05     3.0875e+06      380021          8.21337e-07             
150     0.254360747       0.25432896           6.358224e-05       3.12909e+06     384724          8.2045e-07              
151     0.254424337       0.254392542          6.35981356e-05     3.17069e+06     389418          8.19563e-07             
152     0.254487943       0.25445614           6.36140351e-05     3.21231e+06     394102          8.18678e-07             
153     0.254551565       0.254519754          6.36299386e-05     3.25393e+06     398778          8.17793e-07             
154     0.254615203       0.254583384          6.36458461e-05     3.295e+06       403374          8.16909e-07             
155     0.254678857       0.25464703           6.36617576e-05     3.25365e+06     397882          8.16027e-07             
156     0.254742527       0.254710692          6.3677673e-05      3.15347e+06     385215          8.15145e-07             
157     0.254806212       0.25477437           6.36935924e-05     3.05326e+06     372571          8.14264e-07             
158     0.254869914       0.254838063          6.37095158e-05     2.95303e+06     359951          8.13385e-07             
159     0.254933631       0.254901773          6.37254432e-05     2.85278e+06     347356          8.12506e-07             
160     0.254997365       0.254965498          6.37413745e-05     2.7525e+06      334783          8.11628e-07             
161     0.255061114       0.25502924           6.37573099e-05     2.6522e+06      322235          8.10751e-07             
162     0.25512488        0.255092997          6.37732492e-05     2.55187e+06     309710          8.09876e-07             
