#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          436665          411899          5.09232e-06             
1       0.24506125        0.245030625          6.12576563e-05     426629          402404          5.09195e-06             
2       0.245122515       0.245091883          6.12729707e-05     416592          392908          5.09158e-06             
3       0.245183796       0.245153156          6.12882889e-05     406552          383411          5.09121e-06             
4       0.245245092       0.245214444          6.1303611e-05      396509          373913          5.09085e-06             
5       0.245306403       0.245275748          6.13189369e-05     386465          364414          5.09048e-06             
6       0.24536773        0.245337066          6.13342666e-05     376417          354914          5.09011e-06             
7       0.245429072       0.245398401          6.13496002e-05     366367          345413          5.08974e-06             
8       0.245490429       0.24545975           6.13649376e-05     356315          335911          5.08937e-06             
9       0.245551802       0.245521115          6.13802788e-05     346260          326408          5.089e-06               
10      0.24561319        0.245582496          6.13956239e-05     336202          316904          5.08863e-06             
11      0.245674593       0.245643891          6.14109728e-05     331103          312075          5.08825e-06             
12      0.245736011       0.245705302          6.14263255e-05     335558          316251          5.08788e-06             
13      0.245797445       0.245766728          6.14416821e-05     340254          320654          5.08751e-06             
14      0.245858895       0.24582817           6.14570425e-05     344951          325056          5.08714e-06             
15      0.24592036        0.245889627          6.14724068e-05     349650          329460          5.08677e-06             
16      0.24598184        0.2459511            6.14877749e-05     354349          333863          5.08639e-06             
17      0.246043335       0.246012587          6.15031468e-05     359050          338267          5.08602e-06             
18      0.246104846       0.246074091          6.15185226e-05     363752          342672          5.08565e-06             
19      0.246166372       0.246135609          6.15339023e-05     368455          347077          5.08527e-06             
20      0.246227914       0.246197143          6.15492857e-05     373159          351482          5.0849e-06              
21      0.246289471       0.246258692          6.15646731e-05     377864          355888          5.08452e-06             
22      0.246351043       0.246320257          6.15800642e-05     382571          360294          5.08415e-06             
23      0.246412631       0.246381837          6.15954592e-05     387279          364701          5.08377e-06             
24      0.246474234       0.246443432          6.16108581e-05     391988          369108          5.0834e-06              
25      0.246535853       0.246505043          6.16262608e-05     396698          373516          5.08302e-06             
26      0.246597487       0.24656667           6.16416674e-05     401409          377924          5.08265e-06             
27      0.246659136       0.246628311          6.16570778e-05     407119          383271          5.08227e-06             
28      0.246720801       0.246689968          6.16724921e-05     414564          390251          5.08189e-06             
29      0.246782481       0.246751641          6.16879102e-05     422041          397261          5.08152e-06             
30      0.246844177       0.246813329          6.17033322e-05     429521          404271          5.08114e-06             
31      0.246905888       0.246875032          6.1718758e-05      437002          411282          5.08076e-06             
32      0.246967614       0.246936751          6.17341877e-05     444486          418294          5.08038e-06             
33      0.247029356       0.246998485          6.17496212e-05     451971          425306          5.08e-06                
34      0.247091113       0.247060235          6.17650586e-05     459458          432319          5.07962e-06             
35      0.247152886       0.247122             6.17804999e-05     466947          439333          5.07924e-06             
36      0.247214674       0.24718378           6.1795945e-05      474438          446348          5.07887e-06             
37      0.247276478       0.247245576          6.1811394e-05      481930          453363          5.07849e-06             
38      0.247338297       0.247307387          6.18268469e-05     489425          460378          5.0781e-06              
39      0.247400132       0.247369214          6.18423036e-05     496921          467395          5.07772e-06             
40      0.247461982       0.247431057          6.18577642e-05     504420          474412          5.07734e-06             
41      0.247523847       0.247492914          6.18732286e-05     511920          481430          5.07696e-06             
42      0.247585728       0.247554788          6.18886969e-05     519422          488448          5.07658e-06             
43      0.247647625       0.247616676          6.19041691e-05     517233          486353          5.0762e-06              
44      0.247709536       0.247678581          6.19196451e-05     499872          469993          5.07582e-06             
45      0.247771464       0.2477405            6.1935125e-05      482325          453461          5.07543e-06             
46      0.247833407       0.247802435          6.19506088e-05     464774          436928          5.07505e-06             
47      0.247895365       0.247864386          6.19660965e-05     447219          420393          5.07467e-06             
48      0.247957339       0.247926352          6.1981588e-05      429660          403856          5.07428e-06             
49      0.248019328       0.247988334          6.19970834e-05     412096          387317          5.0739e-06              
50      0.248081333       0.248050331          6.20125827e-05     394527          370777          5.07351e-06             
51      0.248143353       0.248112343          6.20280858e-05     376954          354235          5.07313e-06             
52      0.248205389       0.248174371          6.20435928e-05     359377          337692          5.07274e-06             
53      0.248267441       0.248236415          6.20591037e-05     341796          321147          5.07236e-06             
54      0.248329507       0.248298474          6.20746185e-05     324210          304600          5.07197e-06             
55      0.24839159        0.248360549          6.20901372e-05     306619          288052          5.07159e-06             
56      0.248453688       0.248422639          6.21056597e-05     289025          271502          5.0712e-06              
57      0.248515801       0.248484744          6.21211861e-05     271425          254950          5.07081e-06             
58      0.24857793        0.248546866          6.21367164e-05     253822          238397          5.07043e-06             
59      0.248640075       0.248609002          6.21522506e-05     249567          234382          5.07004e-06             
60      0.248702235       0.248671155          6.21677886e-05     264095          248008          5.06965e-06             
61      0.24876441        0.248733322          6.21833306e-05     278759          261759          5.06926e-06             
62      0.248826601       0.248795506          6.21988764e-05     293427          275511          5.06887e-06             
63      0.248888808       0.248857705          6.22144261e-05     308098          289264          5.06848e-06             
64      0.24895103        0.248919919          6.22299798e-05     322773          303019          5.06809e-06             
65      0.249013268       0.248982149          6.22455372e-05     337452          316775          5.06771e-06             
66      0.249075521       0.249044395          6.22610986e-05     352134          330532          5.06732e-06             
67      0.24913779        0.249106656          6.22766639e-05     366820          344290          5.06692e-06             
68      0.249200075       0.249168932          6.22922331e-05     381510          358050          5.06653e-06             
69      0.249262375       0.249231225          6.23078061e-05     396203          371811          5.06614e-06             
70      0.24932469        0.249293532          6.23233831e-05     410900          385574          5.06575e-06             
71      0.249387021       0.249355856          6.23389639e-05     425601          399337          5.06536e-06             
72      0.249449368       0.249418195          6.23545487e-05     440305          413102          5.06497e-06             
73      0.24951173        0.249480549          6.23701373e-05     455013          426868          5.06458e-06             
74      0.249574108       0.249542919          6.23857298e-05     469725          440636          5.06418e-06             
75      0.249636502       0.249605305          6.24013263e-05     476750          447192          5.06379e-06             
76      0.249698911       0.249667706          6.24169266e-05     474081          444653          5.0634e-06              
77      0.249761336       0.249730123          6.24325308e-05     471378          442084          5.063e-06               
78      0.249823776       0.249792556          6.2448139e-05      468675          439515          5.06261e-06             
79      0.249886232       0.249855004          6.2463751e-05      465971          436945          5.06221e-06             
80      0.249948704       0.249917468          6.24793669e-05     463267          434375          5.06182e-06             
81      0.250011191       0.249979947          6.24949868e-05     460562          431805          5.06142e-06             
82      0.250073694       0.250042442          6.25106105e-05     457856          429235          5.06103e-06             
83      0.250136212       0.250104953          6.25262382e-05     455150          426664          5.06063e-06             
84      0.250198746       0.250167479          6.25418697e-05     452443          424093          5.06023e-06             
85      0.250261296       0.250230021          6.25575052e-05     449735          421522          5.05984e-06             
86      0.250323861       0.250292578          6.25731446e-05     447026          418951          5.05944e-06             
87      0.250386442       0.250355151          6.25887879e-05     444317          416379          5.05904e-06             
88      0.250449039       0.25041774           6.26044351e-05     441607          413807          5.05865e-06             
89      0.250511651       0.250480345          6.26200862e-05     438897          411235          5.05825e-06             
90      0.250574279       0.250542965          6.26357412e-05     436186          408662          5.05785e-06             
91      0.250636922       0.250605601          6.26514001e-05     438562          410856          5.05745e-06             
92      0.250699582       0.250668252          6.2667063e-05      446670          418419          5.05705e-06             
93      0.250762256       0.250730919          6.26827297e-05     454785          425987          5.05665e-06             
94      0.250824947       0.250793602          6.26984004e-05     462902          433556          5.05625e-06             
95      0.250887653       0.2508563            6.2714075e-05      471022          441126          5.05585e-06             
96      0.250950375       0.250919014          6.27297535e-05     479143          448696          5.05545e-06             
97      0.251013113       0.250981744          6.2745436e-05      487266          456267          5.05505e-06             
98      0.251075866       0.251044489          6.27611223e-05     495392          463839          5.05465e-06             
99      0.251138635       0.251107251          6.27768126e-05     503519          471411          5.05425e-06             
100     0.25120142        0.251170027          6.27925068e-05     511649          478984          5.05384e-06             
101     0.25126422        0.25123282           6.2808205e-05      519780          486558          5.05344e-06             
102     0.251327036       0.251295628          6.2823907e-05      527914          494132          5.05304e-06             
103     0.251389868       0.251358452          6.2839613e-05      536049          501707          5.05264e-06             
104     0.251452715       0.251421292          6.28553229e-05     544187          509282          5.05223e-06             
105     0.251515578       0.251484147          6.28710367e-05     552327          516859          5.05183e-06             
106     0.251578457       0.251547018          6.28867545e-05     560468          524436          5.05142e-06             
107     0.251641352       0.251609905          6.29024762e-05     574581          537598          5.05102e-06             
108     0.251704262       0.251672807          6.29182018e-05     594680          556358          5.05062e-06             
