#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          572459          357507          4.41986e-06             
1       0.24506125        0.245030625          6.12576563e-05     559302          349124          4.41775e-06             
2       0.245122515       0.245091883          6.12729707e-05     546144          340747          4.41564e-06             
3       0.245183796       0.245153156          6.12882889e-05     532981          332375          4.41353e-06             
4       0.245245092       0.245214444          6.1303611e-05      519816          324010          4.41141e-06             
5       0.245306403       0.245275748          6.13189369e-05     506647          315650          4.4093e-06              
6       0.24536773        0.245337066          6.13342666e-05     493475          307297          4.40718e-06             
7       0.245429072       0.245398401          6.13496002e-05     480300          298949          4.40507e-06             
8       0.245490429       0.24545975           6.13649376e-05     467121          290606          4.40296e-06             
9       0.245551802       0.245521115          6.13802788e-05     453939          282270          4.40084e-06             
10      0.24561319        0.245582496          6.13956239e-05     440754          273939          4.39873e-06             
11      0.245674593       0.245643891          6.14109728e-05     434069          269655          4.39661e-06             
12      0.245736011       0.245705302          6.14263255e-05     439910          273152          4.3945e-06              
13      0.245797445       0.245766728          6.14416821e-05     446067          276841          4.39238e-06             
14      0.245858895       0.24582817           6.14570425e-05     452224          280528          4.39027e-06             
15      0.24592036        0.245889627          6.14724068e-05     458384          284212          4.38815e-06             
16      0.24598184        0.2459511            6.14877749e-05     464545          287893          4.38604e-06             
17      0.246043335       0.246012587          6.15031468e-05     470707          291571          4.38392e-06             
18      0.246104846       0.246074091          6.15185226e-05     476871          295247          4.3818e-06              
19      0.246166372       0.246135609          6.15339023e-05     483037          298920          4.37969e-06             
20      0.246227914       0.246197143          6.15492857e-05     489204          302590          4.37757e-06             
21      0.246289471       0.246258692          6.15646731e-05     495373          306257          4.37545e-06             
22      0.246351043       0.246320257          6.15800642e-05     501543          309922          4.37334e-06             
23      0.246412631       0.246381837          6.15954592e-05     507715          313584          4.37122e-06             
24      0.246474234       0.246443432          6.16108581e-05     513888          317243          4.3691e-06              
25      0.246535853       0.246505043          6.16262608e-05     520063          320899          4.36699e-06             
26      0.246597487       0.24656667           6.16416674e-05     526239          324553          4.36487e-06             
27      0.246659136       0.246628311          6.16570778e-05     533725          329010          4.36275e-06             
28      0.246720801       0.246689968          6.16724921e-05     543485          334864          4.36063e-06             
29      0.246782481       0.246751641          6.16879102e-05     553288          340738          4.35851e-06             
30      0.246844177       0.246813329          6.17033322e-05     563093          346608          4.3564e-06              
31      0.246905888       0.246875032          6.1718758e-05      572901          352474          4.35428e-06             
32      0.246967614       0.246936751          6.17341877e-05     582712          358335          4.35216e-06             
33      0.247029356       0.246998485          6.17496212e-05     592525          364192          4.35004e-06             
34      0.247091113       0.247060235          6.17650586e-05     602340          370045          4.34792e-06             
35      0.247152886       0.247122             6.17804999e-05     612158          375893          4.3458e-06              
36      0.247214674       0.24718378           6.1795945e-05      621978          381737          4.34368e-06             
37      0.247276478       0.247245576          6.1811394e-05      631801          387577          4.34156e-06             
38      0.247338297       0.247307387          6.18268469e-05     641626          393412          4.33944e-06             
39      0.247400132       0.247369214          6.18423036e-05     651454          399243          4.33733e-06             
40      0.247461982       0.247431057          6.18577642e-05     661284          405069          4.33521e-06             
41      0.247523847       0.247492914          6.18732286e-05     671117          410891          4.33309e-06             
42      0.247585728       0.247554788          6.18886969e-05     680952          416708          4.33097e-06             
43      0.247647625       0.247616676          6.19041691e-05     678082          414749          4.32885e-06             
44      0.247709536       0.247678581          6.19196451e-05     655322          400631          4.32672e-06             
45      0.247771464       0.2477405            6.1935125e-05      632319          386379          4.3246e-06              
46      0.247833407       0.247802435          6.19506088e-05     609310          372137          4.32248e-06             
47      0.247895365       0.247864386          6.19660965e-05     586295          357905          4.32036e-06             
48      0.247957339       0.247926352          6.1981588e-05      563275          343683          4.31824e-06             
49      0.248019328       0.247988334          6.19970834e-05     540249          329472          4.31612e-06             
50      0.248081333       0.248050331          6.20125827e-05     517217          315271          4.314e-06               
51      0.248143353       0.248112343          6.20280858e-05     494180          301080          4.31188e-06             
52      0.248205389       0.248174371          6.20435928e-05     471136          286900          4.30976e-06             
53      0.248267441       0.248236415          6.20591037e-05     448087          272730          4.30763e-06             
54      0.248329507       0.248298474          6.20746185e-05     425032          258570          4.30551e-06             
55      0.24839159        0.248360549          6.20901372e-05     401972          244420          4.30339e-06             
56      0.248453688       0.248422639          6.21056597e-05     378905          230281          4.30127e-06             
57      0.248515801       0.248484744          6.21211861e-05     355833          216152          4.29915e-06             
58      0.24857793        0.248546866          6.21367164e-05     332755          202034          4.29702e-06             
59      0.248640075       0.248609002          6.21522506e-05     327177          198549          4.2949e-06              
60      0.248702235       0.248671155          6.21677886e-05     346224          210004          4.29278e-06             
61      0.24876441        0.248733322          6.21833306e-05     365448          221554          4.29066e-06             
62      0.248826601       0.248795506          6.21988764e-05     384677          233097          4.28853e-06             
63      0.248888808       0.248857705          6.22144261e-05     403911          244630          4.28641e-06             
64      0.24895103        0.248919919          6.22299798e-05     423149          256155          4.28429e-06             
65      0.249013268       0.248982149          6.22455372e-05     442393          267672          4.28216e-06             
66      0.249075521       0.249044395          6.22610986e-05     461641          279179          4.28004e-06             
67      0.24913779        0.249106656          6.22766639e-05     480894          290678          4.27792e-06             
68      0.249200075       0.249168932          6.22922331e-05     500152          302169          4.27579e-06             
69      0.249262375       0.249231225          6.23078061e-05     519414          313650          4.27367e-06             
70      0.24932469        0.249293532          6.23233831e-05     538682          325124          4.27155e-06             
71      0.249387021       0.249355856          6.23389639e-05     557954          336588          4.26942e-06             
72      0.249449368       0.249418195          6.23545487e-05     577231          348044          4.2673e-06              
73      0.24951173        0.249480549          6.23701373e-05     596513          359491          4.26517e-06             
74      0.249574108       0.249542919          6.23857298e-05     615800          370929          4.26305e-06             
75      0.249636502       0.249605305          6.24013263e-05     625010          376290          4.26093e-06             
76      0.249698911       0.249667706          6.24169266e-05     621510          373996          4.2588e-06              
77      0.249761336       0.249730123          6.24325308e-05     617967          371678          4.25668e-06             
78      0.249823776       0.249792556          6.2448139e-05      614424          369362          4.25455e-06             
79      0.249886232       0.249855004          6.2463751e-05      610879          367048          4.25243e-06             
80      0.249948704       0.249917468          6.24793669e-05     607334          364736          4.2503e-06              
81      0.250011191       0.249979947          6.24949868e-05     603787          362425          4.24818e-06             
82      0.250073694       0.250042442          6.25106105e-05     600240          360115          4.24605e-06             
83      0.250136212       0.250104953          6.25262382e-05     596692          357807          4.24393e-06             
84      0.250198746       0.250167479          6.25418697e-05     593143          355501          4.2418e-06              
85      0.250261296       0.250230021          6.25575052e-05     589593          353196          4.23968e-06             
86      0.250323861       0.250292578          6.25731446e-05     586043          350893          4.23755e-06             
87      0.250386442       0.250355151          6.25887879e-05     582491          348592          4.23542e-06             
88      0.250449039       0.25041774           6.26044351e-05     578939          346292          4.2333e-06              
89      0.250511651       0.250480345          6.26200862e-05     575385          343994          4.23117e-06             
90      0.250574279       0.250542965          6.26357412e-05     571831          341697          4.22905e-06             
91      0.250636922       0.250605601          6.26514001e-05     574946          343385          4.22692e-06             
92      0.250699582       0.250668252          6.2667063e-05      585575          349558          4.22479e-06             
93      0.250762256       0.250730919          6.26827297e-05     596214          355730          4.22267e-06             
94      0.250824947       0.250793602          6.26984004e-05     606856          361897          4.22054e-06             
95      0.250887653       0.2508563            6.2714075e-05      617500          368059          4.21841e-06             
96      0.250950375       0.250919014          6.27297535e-05     628147          374216          4.21629e-06             
97      0.251013113       0.250981744          6.2745436e-05      638797          380369          4.21416e-06             
98      0.251075866       0.251044489          6.27611223e-05     649449          386516          4.21204e-06             
99      0.251138635       0.251107251          6.27768126e-05     660104          392659          4.20991e-06             
100     0.25120142        0.251170027          6.27925068e-05     670761          398797          4.20778e-06             
101     0.25126422        0.25123282           6.2808205e-05      681422          404931          4.20565e-06             
102     0.251327036       0.251295628          6.2823907e-05      692084          411059          4.20353e-06             
103     0.251389868       0.251358452          6.2839613e-05      702750          417182          4.2014e-06              
104     0.251452715       0.251421292          6.28553229e-05     713418          423301          4.19927e-06             
105     0.251515578       0.251484147          6.28710367e-05     724089          429415          4.19715e-06             
106     0.251578457       0.251547018          6.28867545e-05     734763          435524          4.19502e-06             
107     0.251641352       0.251609905          6.29024762e-05     753264          446264          4.19289e-06             
108     0.251704262       0.251672807          6.29182018e-05     779613          461640          4.19076e-06             
109     0.251767188       0.251735725          6.29339313e-05     805968          477003          4.18864e-06             
110     0.25183013        0.251798659          6.29496648e-05     832330          492355          4.18651e-06             
111     0.251893088       0.251861609          6.29654022e-05     858698          507695          4.18438e-06             
112     0.251956061       0.251924574          6.29811436e-05     885073          523022          4.18225e-06             
113     0.25201905        0.251987555          6.29968889e-05     911454          538338          4.18013e-06             
114     0.252082055       0.252050552          6.30126381e-05     937842          553642          4.178e-06               
115     0.252145075       0.252113565          6.30283913e-05     964237          568934          4.17587e-06             
116     0.252208112       0.252176593          6.30441484e-05     990638          584214          4.17374e-06             
117     0.252271164       0.252239638          6.30599094e-05     1.01705e+06     599481          4.17161e-06             
118     0.252334231       0.252302697          6.30756744e-05     1.04346e+06     614737          4.16949e-06             
119     0.252397315       0.252365773          6.30914433e-05     1.06988e+06     629981          4.16736e-06             
120     0.252460414       0.252428865          6.31072161e-05     1.09631e+06     645213          4.16523e-06             
121     0.252523529       0.252491972          6.31229929e-05     1.12274e+06     660432          4.1631e-06              
122     0.25258666        0.252555095          6.31387737e-05     1.14922e+06     675660          4.16097e-06             
123     0.252649807       0.252618234          6.31545584e-05     1.21615e+06     714646          4.15884e-06             
124     0.252712969       0.252681388          6.3170347e-05      1.31915e+06     774776          4.15672e-06             
125     0.252776148       0.252744558          6.31861396e-05     1.42218e+06     834860          4.15459e-06             
126     0.252839342       0.252807745          6.32019362e-05     1.52523e+06     894897          4.15246e-06             
127     0.252902551       0.252870947          6.32177366e-05     1.62831e+06     954887          4.15033e-06             
