#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          446851          339906          4.20227e-06             
1       0.24506125        0.245030625          6.12576563e-05     436582          332004          4.20112e-06             
2       0.245122515       0.245091883          6.12729707e-05     426310          324104          4.19998e-06             
3       0.245183796       0.245153156          6.12882889e-05     416036          316207          4.19883e-06             
4       0.245245092       0.245214444          6.1303611e-05      405759          308312          4.19768e-06             
5       0.245306403       0.245275748          6.13189369e-05     395480          300419          4.19653e-06             
6       0.24536773        0.245337066          6.13342666e-05     385198          292529          4.19539e-06             
7       0.245429072       0.245398401          6.13496002e-05     374914          284640          4.19424e-06             
8       0.245490429       0.24545975           6.13649376e-05     364627          276754          4.19309e-06             
9       0.245551802       0.245521115          6.13802788e-05     354337          268871          4.19194e-06             
10      0.24561319        0.245582496          6.13956239e-05     344045          260989          4.19078e-06             
11      0.245674593       0.245643891          6.14109728e-05     338827          256960          4.18963e-06             
12      0.245736011       0.245705302          6.14263255e-05     343386          260346          4.18848e-06             
13      0.245797445       0.245766728          6.14416821e-05     348192          263917          4.18733e-06             
14      0.245858895       0.24582817           6.14570425e-05     352999          267487          4.18617e-06             
15      0.24592036        0.245889627          6.14724068e-05     357807          271055          4.18502e-06             
16      0.24598184        0.2459511            6.14877749e-05     362616          274623          4.18386e-06             
17      0.246043335       0.246012587          6.15031468e-05     367426          278189          4.18271e-06             
18      0.246104846       0.246074091          6.15185226e-05     372238          281754          4.18155e-06             
19      0.246166372       0.246135609          6.15339023e-05     377050          285318          4.1804e-06              
20      0.246227914       0.246197143          6.15492857e-05     381864          288881          4.17924e-06             
21      0.246289471       0.246258692          6.15646731e-05     386679          292442          4.17808e-06             
22      0.246351043       0.246320257          6.15800642e-05     391496          296003          4.17692e-06             
23      0.246412631       0.246381837          6.15954592e-05     396313          299562          4.17576e-06             
24      0.246474234       0.246443432          6.16108581e-05     401132          303120          4.17461e-06             
25      0.246535853       0.246505043          6.16262608e-05     405952          306677          4.17345e-06             
26      0.246597487       0.24656667           6.16416674e-05     410773          310233          4.17228e-06             
27      0.246659136       0.246628311          6.16570778e-05     416616          314559          4.17112e-06             
28      0.246720801       0.246689968          6.16724921e-05     424235          320221          4.16996e-06             
29      0.246782481       0.246751641          6.16879102e-05     431887          325907          4.1688e-06              
30      0.246844177       0.246813329          6.17033322e-05     439541          331590          4.16764e-06             
31      0.246905888       0.246875032          6.1718758e-05      447197          337271          4.16647e-06             
32      0.246967614       0.246936751          6.17341877e-05     454855          342951          4.16531e-06             
33      0.247029356       0.246998485          6.17496212e-05     462515          348629          4.16414e-06             
34      0.247091113       0.247060235          6.17650586e-05     470176          354305          4.16298e-06             
35      0.247152886       0.247122             6.17804999e-05     477840          359979          4.16181e-06             
36      0.247214674       0.24718378           6.1795945e-05      485506          365651          4.16064e-06             
