#This file contains the downward and upward spectral flux (per wavelength) at TOA and the #secondary eclipse depth (= planet to star flux ratio).
#Spectral fluxes given in [erg s^-1 cm^-3].
#bin     cent_lambda[um]   low_int_lambda[um]   delta_lambda[um]   F_down_at_TOA   F_up_at_TOA     #planet/star flux ratio  
0       0.245             0.244969375          6.125e-05          297055          198266          2.45116e-06             
1       0.24506125        0.245030625          6.12576563e-05     290228          193628          2.45014e-06             
2       0.245122515       0.245091883          6.12729707e-05     283400          189006          2.44928e-06             
3       0.245183796       0.245153156          6.12882889e-05     276570          184378          2.44831e-06             
4       0.245245092       0.245214444          6.1303611e-05      269738          179756          2.44738e-06             
5       0.245306403       0.245275748          6.13189369e-05     262905          175134          2.44644e-06             
6       0.24536773        0.245337066          6.13342666e-05     256070          170514          2.44547e-06             
7       0.245429072       0.245398401          6.13496002e-05     249233          165898          2.44454e-06             
8       0.245490429       0.24545975           6.13649376e-05     242394          161284          2.4436e-06              
9       0.245551802       0.245521115          6.13802788e-05     235554          156669          2.4426e-06              
10      0.24561319        0.245582496          6.13956239e-05     228712          152062          2.44171e-06             
11      0.245674593       0.245643891          6.14109728e-05     225243          149697          2.44076e-06             
12      0.245736011       0.245705302          6.14263255e-05     228274          151652          2.43979e-06             
13      0.245797445       0.245766728          6.14416821e-05     231469          153714          2.43884e-06             
14      0.245858895       0.24582817           6.14570425e-05     234664          155776          2.43789e-06             
15      0.24592036        0.245889627          6.14724068e-05     237860          157834          2.43691e-06             
16      0.24598184        0.2459511            6.14877749e-05     241057          159894          2.43597e-06             
17      0.246043335       0.246012587          6.15031468e-05     244255          161950          2.435e-06               
18      0.246104846       0.246074091          6.15185226e-05     247454          164003          2.434e-06               
19      0.246166372       0.246135609          6.15339023e-05     250653          166062          2.43309e-06             
20      0.246227914       0.246197143          6.15492857e-05     253853          168115          2.43212e-06             
21      0.246289471       0.246258692          6.15646731e-05     257054          170167          2.43116e-06             
22      0.246351043       0.246320257          6.15800642e-05     260256          172220          2.43021e-06             
23      0.246412631       0.246381837          6.15954592e-05     263459          174269          2.42924e-06             
24      0.246474234       0.246443432          6.16108581e-05     266662          176319          2.42828e-06             
25      0.246535853       0.246505043          6.16262608e-05     269866          178365          2.4273e-06              
26      0.246597487       0.24656667           6.16416674e-05     273071          180413          2.42635e-06             
27      0.246659136       0.246628311          6.16570778e-05     276956          182906          2.42538e-06             
28      0.246720801       0.246689968          6.16724921e-05     282020          186179          2.42444e-06             
29      0.246782481       0.246751641          6.16879102e-05     287107          189460          2.42345e-06             
