X,Y,index,ΔY,ΔX
5.2125,88,0,14,0.1525
5.5175,86,1,17,0.1525
5.8225,102,2,15,0.1525
6.1275,87,3,16,0.1525
6.4325,104,4,17,0.1525
6.7375,64,5,19,0.1525
7.0425,131,6,18,0.1525
7.3475,140,7,18,0.1525
7.6525,126,8,17,0.1525
7.9575,150,9,20,0.1525
8.2625,154,10,21,0.1525
8.5675,199,11,23,0.1525
8.8725,171,12,23,0.1525
9.1775,195,13,26,0.1525
9.4825,204,14,25,0.1525
9.7875,143,15,30,0.1525
10.0925,147,16,30,0.1525
10.3975,229,17,34,0.1525
10.7025,211,18,44,0.1525
11.0075,257,19,49,0.1525
11.3125,241,20,65,0.1525
11.6175,276,21,77,0.1525
