# Interpolated spectrum of GJ367 at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
1.004555e+02	1.467174e-18
1.008574e+02	1.945650e-18
1.012608e+02	2.079275e-18
1.016658e+02	3.414998e-18
1.020725e+02	3.295903e-17
1.024808e+02	1.313511e-17
1.028907e+02	6.938178e-18
1.033023e+02	4.984225e-17
1.037155e+02	1.059849e-17
1.041303e+02	1.148968e-17
1.045469e+02	2.267047e-17
1.049650e+02	1.285458e-17
1.053849e+02	3.387895e-17
1.058064e+02	1.972888e-17
1.062297e+02	5.693086e-17
1.066546e+02	5.569248e-17
1.070812e+02	4.843447e-17
1.075095e+02	1.837320e-16
1.079396e+02	6.550947e-17
1.083713e+02	1.898521e-16
1.088048e+02	1.548241e-16
1.092400e+02	2.040630e-15
1.096770e+02	2.411519e-16
1.101157e+02	2.977270e-16
1.105562e+02	1.642770e-15
1.109984e+02	8.363365e-16
1.114424e+02	5.477301e-16
1.118881e+02	5.036123e-16
1.123357e+02	8.556887e-16
1.127850e+02	2.285847e-14
1.132362e+02	1.880212e-14
1.136891e+02	1.237499e-14
1.141439e+02	1.409448e-14
1.146005e+02	1.070741e-14
1.150589e+02	1.215630e-14
1.155191e+02	9.443275e-15
1.159812e+02	1.927591e-14
1.164451e+02	9.350270e-15
1.169109e+02	1.126568e-14
1.173785e+02	3.072643e-14
1.178480e+02	8.541132e-14
1.183194e+02	4.918164e-14
1.187927e+02	3.682362e-14
1.192679e+02	6.821038e-14
1.197450e+02	1.160947e-13
1.202239e+02	3.501197e-14
1.207048e+02	1.278023e-13
1.211876e+02	8.850097e-14
1.216724e+02	1.533291e-13
1.221591e+02	2.659733e-13
1.226477e+02	5.742656e-13
1.231383e+02	2.001384e-13
1.236309e+02	3.095466e-13
1.241254e+02	2.310317e-13
1.246219e+02	1.847273e-13
1.251204e+02	2.281637e-13
1.256209e+02	2.839685e-13
1.261233e+02	3.245882e-13
1.266278e+02	2.685445e-13
1.271343e+02	6.550102e-13
1.276429e+02	4.829191e-13
1.281535e+02	4.032799e-13
1.286661e+02	5.232615e-13
1.291807e+02	1.299475e-12
1.296975e+02	1.160576e-12
1.302162e+02	7.772716e-13
1.307371e+02	9.751569e-13
1.312601e+02	1.475488e-12
1.317851e+02	1.461264e-12
1.323122e+02	1.879319e-12
1.328415e+02	1.836659e-12
1.333729e+02	2.082367e-12
1.339063e+02	2.369200e-12
1.344420e+02	2.381889e-12
1.349797e+02	3.860659e-12
1.355197e+02	4.326588e-12
1.360617e+02	6.125308e-12
1.366060e+02	4.676745e-12
1.371524e+02	4.786325e-12
1.377010e+02	7.298532e-12
1.382518e+02	9.721453e-12
1.388048e+02	1.062847e-11
1.393601e+02	1.076827e-11
1.399175e+02	9.413279e-12
1.404772e+02	1.973071e-11
1.410391e+02	1.713157e-11
1.416032e+02	3.498277e-11
1.421696e+02	1.367545e-11
1.427383e+02	2.581297e-11
1.433093e+02	1.161985e-10
1.438825e+02	4.790572e-11
1.444580e+02	1.057448e-10
1.450359e+02	6.373896e-11
1.456160e+02	1.600351e-10
1.461985e+02	1.354348e-10
1.467833e+02	1.081485e-10
1.473704e+02	1.838077e-10
1.479599e+02	7.787378e-11
1.485517e+02	1.894659e-10
1.491459e+02	3.971366e-10
1.497425e+02	2.328536e-10
1.503415e+02	9.001039e-10
1.509429e+02	4.292255e-10
1.515466e+02	2.421399e-10
1.521528e+02	8.296331e-10
1.527614e+02	4.171771e-10
1.533725e+02	4.117055e-10
1.539860e+02	5.492956e-10
1.546019e+02	2.133700e-10
1.552203e+02	3.571886e-10
1.558412e+02	3.878630e-10
1.564646e+02	3.657931e-10
1.570904e+02	4.866467e-10
1.577188e+02	5.167941e-10
1.583496e+02	6.027267e-10
1.589830e+02	7.618335e-10
1.596190e+02	6.078890e-10
1.602575e+02	6.557310e-10
1.608985e+02	8.304668e-10
1.615421e+02	9.852874e-10
1.621882e+02	1.153132e-09
1.628370e+02	1.230813e-09
1.634883e+02	1.415120e-09
1.641423e+02	1.541562e-09
1.647989e+02	1.770027e-09
1.654581e+02	1.520008e-09
1.661199e+02	2.157841e-09
1.667844e+02	2.469194e-09
1.674515e+02	2.841659e-09
1.681213e+02	3.547205e-09
1.687938e+02	3.618859e-09
1.694690e+02	4.950538e-09
1.701469e+02	5.040811e-09
1.708274e+02	5.886573e-09
1.715108e+02	7.041718e-09
1.721968e+02	7.361214e-09
1.728856e+02	9.428776e-09
1.735771e+02	9.451170e-09
1.742714e+02	1.082263e-08
1.749685e+02	1.442005e-08
1.756684e+02	1.321536e-08
1.763711e+02	1.814068e-08
1.770766e+02	2.054002e-08
1.777849e+02	1.906090e-08
1.784960e+02	2.708115e-08
1.792100e+02	2.665994e-08
1.799268e+02	2.959042e-08
1.806465e+02	4.027862e-08
1.813691e+02	3.273010e-08
1.820946e+02	4.390594e-08
1.828230e+02	5.955744e-08
1.835543e+02	4.519028e-08
1.842885e+02	6.372833e-08
1.850256e+02	8.631796e-08
1.857657e+02	6.977883e-08
1.865088e+02	1.043340e-07
1.872548e+02	1.125036e-07
1.880039e+02	1.020808e-07
1.887559e+02	1.489169e-07
1.895109e+02	1.520456e-07
1.902689e+02	1.508479e-07
1.910300e+02	2.250030e-07
1.917941e+02	2.204922e-07
1.925613e+02	2.364036e-07
1.933316e+02	3.263680e-07
1.941049e+02	3.256766e-07
1.948813e+02	3.504458e-07
1.956608e+02	4.973695e-07
1.964435e+02	4.476854e-07
1.972292e+02	5.157650e-07
1.980182e+02	6.907465e-07
1.988102e+02	6.655031e-07
1.996055e+02	6.944524e-07
2.004039e+02	8.305808e-07
2.012055e+02	9.211029e-07
2.020103e+02	9.978328e-07
2.028184e+02	1.142979e-06
2.036296e+02	1.162617e-06
2.044442e+02	1.222085e-06
2.052619e+02	1.413331e-06
2.060830e+02	1.485903e-06
2.069073e+02	1.568782e-06
2.077350e+02	1.731993e-06
2.085659e+02	1.909880e-06
2.094002e+02	1.997727e-06
2.102378e+02	2.144173e-06
2.110787e+02	2.203656e-06
2.119230e+02	2.458514e-06
2.127707e+02	2.679713e-06
2.136218e+02	2.920110e-06
2.144763e+02	2.827063e-06
2.153342e+02	3.212395e-06
2.161955e+02	3.576235e-06
2.170603e+02	3.906088e-06
2.179286e+02	3.826399e-06
2.188003e+02	4.144718e-06
2.196755e+02	4.915373e-06
2.205542e+02	5.100437e-06
2.214364e+02	5.971563e-06
2.223221e+02	5.301374e-06
2.232114e+02	7.610538e-06
2.241043e+02	7.315008e-06
2.250007e+02	9.919540e-06
2.259007e+02	8.029348e-06
2.268043e+02	1.005142e-05
2.277115e+02	1.196412e-05
2.286223e+02	1.353879e-05
2.295368e+02	1.751779e-05
2.304550e+02	1.165270e-05
2.313768e+02	1.776046e-05
2.323023e+02	1.969758e-05
2.332315e+02	2.452705e-05
2.341644e+02	2.519643e-05
2.351011e+02	1.869060e-05
2.360415e+02	2.857188e-05
2.369857e+02	2.272509e-05
2.379336e+02	3.428964e-05
2.388854e+02	3.508105e-05
2.398409e+02	4.903187e-05
2.408003e+02	5.720597e-05
2.417635e+02	3.790769e-05
2.427305e+02	6.813766e-05
2.437014e+02	6.997308e-05
2.446762e+02	1.103926e-04
2.456549e+02	8.588176e-05
2.466376e+02	1.008193e-04
2.476241e+02	1.250828e-04
2.486146e+02	7.140562e-05
2.496091e+02	1.156491e-04
2.506075e+02	1.140712e-04
2.516099e+02	1.405111e-04
2.526164e+02	2.118792e-04
2.536268e+02	4.022324e-04
2.546414e+02	5.032535e-04
2.556599e+02	2.908967e-04
2.566826e+02	2.400662e-04
2.577093e+02	2.799886e-04
2.587401e+02	2.451344e-04
2.597751e+02	3.346756e-04
2.608142e+02	3.525825e-04
2.618574e+02	5.532609e-04
2.629049e+02	9.468085e-04
2.639565e+02	9.591509e-04
2.650123e+02	9.445693e-04
2.660724e+02	8.575769e-04
2.671367e+02	8.541297e-04
2.682052e+02	1.049538e-03
2.692780e+02	8.671991e-04
2.703551e+02	1.312361e-03
2.714366e+02	1.278011e-03
2.725223e+02	1.315137e-03
2.736124e+02	1.568223e-03
2.747068e+02	2.056347e-03
2.758057e+02	2.299585e-03
2.769089e+02	3.881254e-03
2.780165e+02	3.396956e-03
2.791286e+02	4.396818e-03
2.802451e+02	4.184949e-03
2.813661e+02	4.132409e-03
2.824916e+02	4.029502e-03
2.836215e+02	4.079714e-03
2.847560e+02	2.124367e-03
2.858950e+02	3.276339e-03
2.870386e+02	5.765269e-03
2.881868e+02	8.798006e-03
2.893395e+02	1.211484e-02
2.904969e+02	1.389623e-02
2.916589e+02	1.659784e-02
2.928255e+02	1.562939e-02
2.939968e+02	1.704979e-02
2.951728e+02	1.565898e-02
2.963535e+02	1.838598e-02
2.975389e+02	1.919877e-02
2.987290e+02	2.576859e-02
2.999240e+02	2.083419e-02
3.011237e+02	3.830291e-02
3.023281e+02	2.080127e-02
3.035375e+02	5.100726e-02
3.047516e+02	4.700253e-02
3.059706e+02	5.471859e-02
3.071945e+02	6.874750e-02
3.084233e+02	8.314367e-02
3.096570e+02	7.853885e-02
3.108956e+02	1.024208e-01
3.121392e+02	1.123589e-01
3.133877e+02	1.331392e-01
3.146413e+02	1.639623e-01
3.158999e+02	1.588846e-01
3.171635e+02	2.381137e-01
3.184321e+02	1.986352e-01
3.197058e+02	2.113455e-01
3.209847e+02	2.479551e-01
3.222686e+02	2.860029e-01
3.235577e+02	2.912334e-01
3.248519e+02	3.451919e-01
3.261513e+02	3.771993e-01
3.274559e+02	4.246871e-01
3.287657e+02	4.643939e-01
3.300808e+02	5.174089e-01
3.314011e+02	6.191001e-01
3.327267e+02	6.313979e-01
3.340576e+02	7.538507e-01
3.353939e+02	7.182653e-01
3.367354e+02	7.451050e-01
3.380824e+02	7.898788e-01
3.394347e+02	8.853756e-01
3.407924e+02	9.124857e-01
3.421556e+02	8.773537e-01
3.435242e+02	6.440142e-01
3.448983e+02	7.591054e-01
3.462779e+02	8.689757e-01
3.476630e+02	7.722894e-01
3.490537e+02	8.511008e-01
3.504499e+02	1.342390e+00
3.518517e+02	1.216684e+00
3.532591e+02	1.457871e+00
3.546722e+02	1.779020e+00
3.560908e+02	1.093719e+00
3.575152e+02	8.003235e-01
3.589453e+02	1.250689e+00
3.603810e+02	1.596205e+00
3.618226e+02	1.391826e+00
3.632699e+02	1.471288e+00
3.647229e+02	1.335412e+00
3.661818e+02	2.387622e+00
3.676466e+02	1.829274e+00
3.691171e+02	2.058406e+00
3.705936e+02	1.364361e+00
3.720760e+02	7.301435e-01
3.735643e+02	6.937204e-01
3.750586e+02	7.905725e-01
3.765588e+02	1.586921e+00
3.780650e+02	2.945513e+00
3.795773e+02	1.998367e+00
3.810956e+02	2.256378e+00
3.826200e+02	9.981786e-01
3.841505e+02	1.647061e+00
3.856871e+02	1.101821e+00
3.872298e+02	1.824961e+00
3.887787e+02	1.728752e+00
3.903338e+02	2.068321e+00
3.918952e+02	2.098291e+00
3.934628e+02	1.132728e+00
3.950366e+02	2.703259e+00
3.966167e+02	1.933807e+00
3.982032e+02	3.495739e+00
3.997960e+02	4.069686e+00
4.013952e+02	4.796430e+00
4.030008e+02	5.539653e+00
4.046128e+02	4.663114e+00
4.062312e+02	4.711918e+00
4.078562e+02	5.242180e+00
4.094876e+02	5.795039e+00
4.111255e+02	6.466607e+00
4.127701e+02	5.923677e+00
4.144211e+02	5.585188e+00
4.160788e+02	6.318596e+00
4.177431e+02	5.338339e+00
4.194141e+02	4.161787e+00
4.210918e+02	2.522357e+00
4.227761e+02	7.434900e-01
4.244672e+02	2.595165e+00
4.261651e+02	4.236386e+00
4.278698e+02	4.805021e+00
4.295812e+02	3.956075e+00
4.312996e+02	4.950772e+00
4.330248e+02	6.128666e+00
4.347569e+02	7.241274e+00
4.364959e+02	6.721745e+00
4.382419e+02	5.351093e+00
4.399948e+02	6.342411e+00
4.417548e+02	6.803680e+00
4.435218e+02	5.714826e+00
4.452959e+02	5.855594e+00
4.470771e+02	6.863257e+00
4.488654e+02	7.016699e+00
4.506609e+02	7.504036e+00
4.524635e+02	6.749486e+00
4.542734e+02	7.068162e+00
4.560905e+02	7.645602e+00
4.579148e+02	7.897424e+00
4.597465e+02	6.727229e+00
4.615855e+02	8.024116e+00
4.634318e+02	6.664073e+00
4.652855e+02	7.500556e+00
4.671467e+02	7.446571e+00
4.690153e+02	7.690460e+00
4.708913e+02	8.467765e+00
4.727749e+02	8.176729e+00
4.746660e+02	8.812424e+00
4.765647e+02	6.665396e+00
4.784709e+02	5.659721e+00
4.803848e+02	6.716300e+00
4.823063e+02	6.908908e+00
4.842356e+02	7.801999e+00
4.861725e+02	8.088624e+00
4.881172e+02	9.149265e+00
4.900697e+02	8.889893e+00
4.920300e+02	9.999461e+00
4.939981e+02	1.135763e+01
4.959741e+02	8.506383e+00
4.979580e+02	9.576587e+00
4.999498e+02	8.397584e+00
5.019496e+02	7.943445e+00
5.039574e+02	9.169055e+00
5.059732e+02	7.968110e+00
5.079971e+02	8.548043e+00
5.100291e+02	7.871988e+00
5.120692e+02	8.077154e+00
5.141175e+02	8.089187e+00
5.161740e+02	6.903090e+00
5.182387e+02	5.047077e+00
5.203116e+02	7.405145e+00
5.223929e+02	1.060599e+01
5.244824e+02	1.051205e+01
5.265804e+02	8.927923e+00
5.286867e+02	1.045094e+01
5.308014e+02	1.057449e+01
5.329246e+02	9.460661e+00
5.350563e+02	1.052718e+01
5.371966e+02	9.548341e+00
5.393453e+02	9.899295e+00
5.415027e+02	9.971018e+00
5.436687e+02	8.939460e+00
5.458434e+02	7.421717e+00
5.480268e+02	8.703222e+00
5.502189e+02	8.252558e+00
5.524198e+02	8.778765e+00
5.546295e+02	9.430800e+00
5.568480e+02	9.284928e+00
5.590754e+02	8.366614e+00
5.613117e+02	7.460884e+00
5.635569e+02	6.526974e+00
5.658111e+02	7.421920e+00
5.680744e+02	6.859444e+00
5.703467e+02	7.713149e+00
5.726281e+02	8.012464e+00
5.749186e+02	8.853891e+00
5.772183e+02	8.295048e+00
5.795271e+02	9.519701e+00
5.818452e+02	9.620511e+00
5.841726e+02	9.373787e+00
5.865093e+02	7.381120e+00
5.888553e+02	4.340020e+00
5.912108e+02	5.139101e+00
5.935756e+02	5.884251e+00
5.959499e+02	5.674067e+00
5.983337e+02	6.453841e+00
6.007270e+02	7.059900e+00
6.031300e+02	8.059719e+00
6.055425e+02	9.359687e+00
6.079646e+02	1.051577e+01
6.103965e+02	1.163369e+01
6.128381e+02	1.235632e+01
6.152894e+02	1.088740e+01
6.177506e+02	8.016338e+00
6.202216e+02	6.930602e+00
6.227025e+02	5.457617e+00
6.251933e+02	6.431655e+00
6.276941e+02	7.169264e+00
6.302048e+02	8.539702e+00
6.327257e+02	1.010866e+01
6.352566e+02	1.073225e+01
6.377976e+02	1.005125e+01
6.403488e+02	1.232230e+01
6.429102e+02	1.357500e+01
6.454818e+02	1.450288e+01
6.480637e+02	1.512934e+01
6.506560e+02	1.549739e+01
6.532586e+02	1.686777e+01
6.558717e+02	1.474875e+01
6.584951e+02	1.404963e+01
6.611291e+02	1.309990e+01
6.637736e+02	1.164784e+01
6.664287e+02	1.077721e+01
6.690945e+02	1.000315e+01
6.717708e+02	9.887310e+00
6.744579e+02	1.014490e+01
6.771557e+02	1.142741e+01
6.798644e+02	1.065344e+01
6.825838e+02	1.077688e+01
6.853142e+02	1.035807e+01
6.880554e+02	9.957757e+00
