# Spectrum of GJ486 at 1 AU (SPHINX)
# WL(nm)	Flux(ergs/cm**2/s/nm)
1.004555e+02	1.911519e-19
1.008574e+02	2.515074e-19
1.012608e+02	3.390379e-19
1.016658e+02	3.837122e-19
1.020725e+02	4.799552e-19
1.024808e+02	5.885213e-19
1.028907e+02	6.810708e-19
1.033023e+02	9.514990e-19
1.037155e+02	9.946849e-19
1.041303e+02	1.179759e-18
1.045469e+02	1.319700e-18
1.049650e+02	1.727587e-18
1.053849e+02	2.544406e-18
1.058064e+02	2.987209e-18
1.062297e+02	3.000820e-18
1.066546e+02	4.289561e-18
1.070812e+02	4.165367e-18
1.075095e+02	6.206839e-18
1.079396e+02	7.800408e-18
1.083713e+02	8.173280e-18
1.088048e+02	1.038981e-17
1.092400e+02	2.179749e-17
1.096770e+02	1.431305e-17
1.101157e+02	2.183210e-17
1.105562e+02	2.763993e-17
1.109984e+02	3.119747e-17
1.114424e+02	3.961401e-17
1.118881e+02	3.309235e-17
1.123357e+02	4.838393e-17
1.127850e+02	1.668294e-16
1.132362e+02	1.344418e-16
1.136891e+02	1.332062e-16
1.141439e+02	1.678626e-16
1.146005e+02	1.624036e-16
1.150589e+02	2.033453e-16
1.155191e+02	1.726421e-16
1.159812e+02	2.837530e-16
1.164451e+02	2.398359e-16
1.169109e+02	2.854879e-16
1.173785e+02	4.723853e-16
1.178480e+02	9.140303e-16
1.183194e+02	6.723218e-16
1.187927e+02	6.476591e-16
1.192679e+02	1.058193e-15
1.197450e+02	1.561899e-15
1.202239e+02	9.149581e-16
1.207048e+02	1.901306e-15
1.211876e+02	1.823354e-15
1.216724e+02	3.090939e-15
1.221591e+02	6.408885e-15
1.226477e+02	2.742307e-14
1.231383e+02	7.447887e-15
1.236309e+02	1.259759e-14
1.241254e+02	6.801345e-15
1.246219e+02	6.131087e-15
1.251204e+02	8.139680e-15
1.256209e+02	8.245624e-15
1.261233e+02	1.243028e-14
1.266278e+02	9.156315e-15
1.271343e+02	2.041187e-14
1.276429e+02	1.750703e-14
1.281535e+02	1.603319e-14
1.286661e+02	1.794710e-14
1.291807e+02	3.249738e-14
1.296975e+02	3.418381e-14
1.302162e+02	3.193586e-14
1.307371e+02	4.684203e-14
1.312601e+02	6.799904e-14
1.317851e+02	5.705491e-14
1.323122e+02	5.508876e-14
1.328415e+02	7.442061e-14
1.333729e+02	1.115635e-13
1.339063e+02	7.950042e-14
1.344420e+02	8.991727e-14
1.349797e+02	1.163781e-13
1.355197e+02	1.493983e-13
1.360617e+02	1.937549e-13
1.366060e+02	1.700573e-13
1.371524e+02	2.296824e-13
1.377010e+02	3.162977e-13
1.382518e+02	3.122007e-13
1.388048e+02	4.191013e-13
1.393601e+02	6.150455e-13
1.399175e+02	5.520065e-13
1.404772e+02	8.691507e-13
1.410391e+02	1.060925e-12
1.416032e+02	1.518445e-12
1.421696e+02	1.234917e-12
1.427383e+02	1.446690e-12
1.433093e+02	4.925922e-12
1.438825e+02	2.368857e-12
1.444580e+02	4.363916e-12
1.450359e+02	5.005398e-12
1.456160e+02	8.638499e-12
1.461985e+02	4.763281e-12
1.467833e+02	6.311969e-12
1.473704e+02	9.886961e-12
1.479599e+02	8.625163e-12
1.485517e+02	1.105088e-11
1.491459e+02	3.072317e-11
1.497425e+02	1.591842e-11
1.503415e+02	6.161173e-11
1.509429e+02	4.700004e-11
1.515466e+02	2.494896e-11
1.521528e+02	4.820659e-11
1.527614e+02	4.360810e-11
1.533725e+02	3.811292e-11
1.539860e+02	5.691567e-11
1.546019e+02	2.165031e-11
1.552203e+02	3.366262e-11
1.558412e+02	3.404912e-11
1.564646e+02	3.010670e-11
1.570904e+02	3.484083e-11
1.577188e+02	3.498575e-11
1.583496e+02	3.985900e-11
1.589830e+02	5.463406e-11
1.596190e+02	4.867101e-11
1.602575e+02	5.501722e-11
1.608985e+02	6.538743e-11
1.615421e+02	7.311672e-11
1.621882e+02	8.342240e-11
1.628370e+02	9.279534e-11
1.634883e+02	1.072010e-10
1.641423e+02	1.218576e-10
1.647989e+02	1.405570e-10
1.654581e+02	1.495110e-10
1.661199e+02	1.860809e-10
1.667844e+02	2.106891e-10
1.674515e+02	2.488259e-10
1.681213e+02	3.141434e-10
1.687938e+02	3.321195e-10
1.694690e+02	4.807193e-10
1.701469e+02	4.902584e-10
1.708274e+02	5.795430e-10
1.715108e+02	6.767713e-10
1.721968e+02	7.427245e-10
1.728856e+02	9.163396e-10
1.735771e+02	9.253722e-10
1.742714e+02	1.032491e-09
1.749685e+02	1.457169e-09
1.756684e+02	1.336212e-09
1.763711e+02	1.943019e-09
1.770766e+02	2.221616e-09
1.777849e+02	1.922603e-09
1.784960e+02	2.963362e-09
1.792100e+02	2.853114e-09
1.799268e+02	3.211820e-09
1.806465e+02	4.623086e-09
1.813691e+02	3.383956e-09
1.820946e+02	4.857372e-09
1.828230e+02	7.145070e-09
1.835543e+02	4.516946e-09
1.842885e+02	7.030957e-09
1.850256e+02	1.071839e-08
1.857657e+02	7.233161e-09
1.865088e+02	1.287960e-08
1.872548e+02	1.284807e-08
1.880039e+02	1.053210e-08
1.887559e+02	1.817265e-08
1.895109e+02	1.666816e-08
1.902689e+02	1.602453e-08
1.910300e+02	2.942351e-08
1.917941e+02	2.529107e-08
1.925613e+02	2.790586e-08
1.933316e+02	4.457275e-08
1.941049e+02	4.046726e-08
1.948813e+02	4.350292e-08
1.956608e+02	7.420216e-08
1.964435e+02	5.421698e-08
1.972292e+02	6.809104e-08
1.980182e+02	1.034582e-07
1.988102e+02	8.907659e-08
1.996055e+02	8.965023e-08
2.004039e+02	1.124824e-07
2.012055e+02	1.248641e-07
2.020103e+02	1.357386e-07
2.028184e+02	1.580995e-07
2.036296e+02	1.488047e-07
2.044442e+02	1.502672e-07
2.052619e+02	1.830317e-07
2.060830e+02	1.840898e-07
2.069073e+02	1.896103e-07
2.077350e+02	2.097484e-07
2.085659e+02	2.359301e-07
2.094002e+02	2.430136e-07
2.102378e+02	2.604769e-07
2.110787e+02	2.522167e-07
2.119230e+02	2.874299e-07
2.127707e+02	3.141590e-07
2.136218e+02	3.505591e-07
2.144763e+02	3.240539e-07
2.153342e+02	3.828037e-07
2.161955e+02	4.418373e-07
2.170603e+02	4.869921e-07
2.179286e+02	4.731803e-07
2.188003e+02	5.244418e-07
2.196755e+02	6.297576e-07
2.205542e+02	6.479777e-07
2.214364e+02	8.313911e-07
2.223221e+02	7.342420e-07
2.232114e+02	1.124853e-06
2.241043e+02	1.012019e-06
2.250007e+02	1.507670e-06
2.259007e+02	1.259249e-06
2.268043e+02	1.578222e-06
2.277115e+02	1.836604e-06
2.286223e+02	2.034783e-06
2.295368e+02	2.981022e-06
2.304550e+02	1.910859e-06
2.313768e+02	3.038597e-06
2.323023e+02	3.106228e-06
2.332315e+02	4.141132e-06
2.341644e+02	4.436821e-06
2.351011e+02	2.827141e-06
2.360415e+02	4.939028e-06
2.369857e+02	3.279910e-06
2.379336e+02	5.870593e-06
2.388854e+02	5.623131e-06
2.398409e+02	9.623080e-06
2.408003e+02	1.165396e-05
2.417635e+02	6.554295e-06
2.427305e+02	1.552341e-05
2.437014e+02	1.413886e-05
2.446762e+02	2.849328e-05
2.456549e+02	1.734415e-05
2.466376e+02	2.150267e-05
2.476241e+02	2.607435e-05
2.486146e+02	1.133119e-05
2.496091e+02	2.429245e-05
2.506075e+02	2.251187e-05
2.516099e+02	2.801029e-05
2.526164e+02	3.490784e-05
2.536268e+02	1.154719e-04
2.546414e+02	1.193059e-04
2.556599e+02	8.845178e-05
2.566826e+02	6.729178e-05
2.577093e+02	7.986733e-05
2.587401e+02	5.911028e-05
2.597751e+02	9.557048e-05
2.608142e+02	9.642512e-05
2.618574e+02	2.165165e-04
2.629049e+02	4.820171e-04
2.639565e+02	4.808891e-04
2.650123e+02	4.716605e-04
2.660724e+02	3.736241e-04
2.671367e+02	3.822732e-04
2.682052e+02	4.619471e-04
2.692780e+02	3.204034e-04
2.703551e+02	5.816742e-04
2.714366e+02	4.325732e-04
2.725223e+02	3.504285e-04
2.736124e+02	4.814661e-04
2.747068e+02	4.948825e-04
2.758057e+02	8.282337e-04
2.769089e+02	1.629195e-03
2.780165e+02	1.285081e-03
2.791286e+02	1.590170e-03
2.802451e+02	1.319698e-03
2.813661e+02	1.137155e-03
2.824916e+02	9.440458e-04
2.836215e+02	7.059172e-04
2.847560e+02	3.347040e-04
2.858950e+02	4.786125e-04
2.870386e+02	9.825271e-04
2.881868e+02	1.827617e-03
2.893395e+02	3.026402e-03
2.904969e+02	3.976025e-03
2.916589e+02	5.526719e-03
2.928255e+02	5.509576e-03
2.939968e+02	4.725299e-03
2.951728e+02	4.039214e-03
2.963535e+02	4.934941e-03
2.975389e+02	5.089381e-03
2.987290e+02	7.116890e-03
2.999240e+02	5.654200e-03
3.011237e+02	1.048797e-02
3.023281e+02	4.477680e-03
3.035375e+02	1.423264e-02
3.047516e+02	1.406630e-02
3.059706e+02	1.788801e-02
3.071945e+02	3.188706e-02
3.084233e+02	4.874397e-02
3.096570e+02	3.683613e-02
3.108956e+02	6.711555e-02
3.121392e+02	7.141273e-02
3.133877e+02	8.541179e-02
3.146413e+02	1.007719e-01
3.158999e+02	1.010718e-01
3.171635e+02	1.361733e-01
3.184321e+02	9.303406e-02
3.197058e+02	7.299027e-02
3.209847e+02	1.187571e-01
3.222686e+02	1.382713e-01
