# Spectrum of GJ486 at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
1.004555e+02	5.751612e-20
1.008574e+02	8.465384e-20
1.012608e+02	9.174832e-20
1.016658e+02	1.352309e-19
1.020725e+02	3.344528e-18
1.024808e+02	9.689330e-19
1.028907e+02	2.921528e-19
1.033023e+02	5.193536e-18
1.037155e+02	4.001191e-19
1.041303e+02	4.072712e-19
1.045469e+02	1.240796e-18
1.049650e+02	4.087203e-19
1.053849e+02	2.226679e-18
1.058064e+02	6.607790e-19
1.062297e+02	3.004303e-18
1.066546e+02	2.828400e-18
1.070812e+02	1.805530e-18
1.075095e+02	1.661963e-17
1.079396e+02	2.418102e-18
1.083713e+02	1.233616e-17
1.088048e+02	8.249389e-18
1.092400e+02	3.426815e-16
1.096770e+02	1.336176e-17
1.101157e+02	1.722464e-17
1.105562e+02	2.111625e-16
1.109984e+02	7.711625e-17
1.114424e+02	3.716886e-17
1.118881e+02	2.229974e-17
1.123357e+02	5.467173e-17
1.127850e+02	5.267221e-15
1.132362e+02	3.639736e-15
1.136891e+02	2.062350e-15
1.141439e+02	2.376851e-15
1.146005e+02	1.549636e-15
1.150589e+02	1.712464e-15
1.155191e+02	1.061474e-15
1.159812e+02	2.821605e-15
1.164451e+02	9.072406e-16
1.169109e+02	1.057094e-15
1.173785e+02	4.330974e-15
1.178480e+02	1.746551e-14
1.183194e+02	7.400409e-15
1.187927e+02	4.248144e-15
1.192679e+02	1.041157e-14
1.197450e+02	2.069657e-14
1.202239e+02	2.936914e-15
1.207048e+02	1.911775e-14
1.211876e+02	1.069054e-14
1.216724e+02	1.771550e-14
1.221591e+02	4.145950e-14
1.226477e+02	1.082138e-13
1.231383e+02	1.952158e-14
1.236309e+02	3.625395e-14
1.241254e+02	2.244344e-14
1.246219e+02	1.221895e-14
1.251204e+02	1.580741e-14
1.256209e+02	2.328449e-14
1.261233e+02	2.295943e-14
1.266278e+02	1.432212e-14
1.271343e+02	7.091971e-14
1.276429e+02	3.773152e-14
1.281535e+02	2.044877e-14
1.286661e+02	2.891542e-14
1.291807e+02	1.540729e-13
1.296975e+02	1.118162e-13
1.302162e+02	4.392223e-14
1.307371e+02	6.155737e-14
1.312601e+02	1.184835e-13
1.317851e+02	1.016157e-13
1.323122e+02	1.722600e-13
1.328415e+02	1.343459e-13
1.333729e+02	1.485985e-13
1.339063e+02	1.620560e-13
1.344420e+02	1.646550e-13
1.349797e+02	3.913801e-13
1.355197e+02	3.633864e-13
1.360617e+02	6.792959e-13
1.366060e+02	4.090924e-13
1.371524e+02	3.937765e-13
1.377010e+02	6.838288e-13
1.382518e+02	1.047548e-12
1.388048e+02	1.158063e-12
1.393601e+02	1.090095e-12
1.399175e+02	8.606070e-13
1.404772e+02	2.533637e-12
1.410391e+02	1.856492e-12
1.416032e+02	5.069913e-12
1.421696e+02	1.228552e-12
1.427383e+02	3.057690e-12
1.433093e+02	2.495245e-11
1.438825e+02	6.774210e-12
1.444580e+02	1.841206e-11
1.450359e+02	1.000094e-11
1.456160e+02	3.368464e-11
1.461985e+02	2.200354e-11
1.467833e+02	1.669578e-11
1.473704e+02	3.421427e-11
1.479599e+02	9.467737e-12
1.485517e+02	2.976951e-11
1.491459e+02	7.792757e-11
1.497425e+02	3.279994e-11
1.503415e+02	2.229089e-10
1.509429e+02	7.499159e-11
1.515466e+02	3.003165e-11
1.521528e+02	1.336048e-10
1.527614e+02	4.291497e-11
1.533725e+02	3.479307e-11
1.539860e+02	5.315077e-11
1.546019e+02	1.609087e-11
1.552203e+02	2.576167e-11
1.558412e+02	2.555094e-11
1.564646e+02	2.305933e-11
1.570904e+02	2.621138e-11
1.577188e+02	2.715068e-11
1.583496e+02	3.077744e-11
1.589830e+02	4.113539e-11
1.596190e+02	3.917294e-11
