# Interpolated spectrum of TRAPPIST-1 at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
1.000553e+02	1.392499e-08
1.004555e+02	1.087967e-26
1.008574e+02	1.820761e-26
1.012608e+02	1.977739e-26
1.016658e+02	1.949023e-26
1.020725e+02	3.184943e-23
1.024808e+02	8.460076e-25
1.028907e+02	8.129910e-26
1.033023e+02	8.763015e-23
1.037155e+02	6.645138e-26
1.041303e+02	1.171976e-25
1.045469e+02	1.285741e-24
1.049650e+02	1.418527e-26
1.053849e+02	6.054241e-24
1.058064e+02	5.909530e-26
1.062297e+02	1.166801e-23
1.066546e+02	2.969028e-24
1.070812e+02	8.218451e-25
1.075095e+02	3.713485e-22
1.079396e+02	1.223204e-24
1.083713e+02	1.488119e-22
1.088048e+02	4.050450e-23
1.092400e+02	5.276518e-20
1.096770e+02	7.989443e-23
1.101157e+02	9.906807e-23
1.105562e+02	2.482290e-20
1.109984e+02	4.592628e-21
1.114424e+02	5.435175e-22
1.118881e+02	7.936322e-23
1.123357e+02	5.076284e-22
1.127850e+02	1.614114e-18
1.132362e+02	4.732564e-19
1.136891e+02	3.621981e-19
1.141439e+02	4.357884e-19
1.146005e+02	3.507029e-19
1.150589e+02	3.362546e-19
1.155191e+02	1.814958e-19
1.159812e+02	6.533256e-19
1.164451e+02	1.079821e-19
1.169109e+02	1.220897e-19
1.173785e+02	8.236221e-19
1.178480e+02	2.969400e-18
1.183194e+02	1.493628e-18
1.187927e+02	2.449951e-19
1.192679e+02	7.910404e-19
1.197450e+02	9.490450e-19
1.202239e+02	1.146883e-20
1.207048e+02	1.607484e-19
1.211876e+02	6.230769e-21
1.216724e+02	5.718804e-23
1.221591e+02	4.220590e-20
1.226477e+02	1.978657e-19
1.231383e+02	5.338894e-20
1.236309e+02	2.207082e-19
1.241254e+02	5.950897e-20
1.246219e+02	1.020273e-20
1.251204e+02	1.108538e-20
1.256209e+02	5.367565e-19
1.261233e+02	6.456562e-19
1.266278e+02	5.589242e-21
1.271343e+02	2.013209e-19
1.276429e+02	2.452488e-19
1.281535e+02	1.773921e-20
1.286661e+02	1.014763e-19
1.291807e+02	3.446487e-19
1.296975e+02	2.025387e-19
1.302162e+02	3.628134e-20
1.307371e+02	8.420116e-19
1.312601e+02	7.032707e-19
1.317851e+02	6.841565e-19
1.323122e+02	5.887076e-18
1.328415e+02	6.223726e-18
1.333729e+02	3.369591e-18
1.339063e+02	1.833407e-19
1.344420e+02	2.990631e-18
1.349797e+02	1.263266e-17
1.355197e+02	7.704978e-18
1.360617e+02	1.953938e-17
1.366060e+02	3.029977e-18
1.371524e+02	1.918373e-19
1.377010e+02	1.369207e-18
1.382518e+02	7.824282e-17
1.388048e+02	2.797827e-17
1.393601e+02	1.715096e-18
1.399175e+02	1.007888e-18
1.404772e+02	8.052563e-17
1.410391e+02	9.399660e-18
1.416032e+02	2.910317e-16
1.421696e+02	2.185473e-19
1.427383e+02	4.160974e-17
1.433093e+02	4.119152e-15
1.438825e+02	2.043739e-16
1.444580e+02	2.007560e-15
1.450359e+02	1.450316e-16
1.456160e+02	5.452329e-15
1.461985e+02	6.550741e-15
1.467833e+02	8.247661e-16
1.473704e+02	5.061932e-15
1.479599e+02	2.694668e-17
1.485517e+02	1.628800e-15
1.491459e+02	5.804495e-15
1.497425e+02	6.816347e-16
1.503415e+02	4.633446e-14
1.509429e+02	2.091750e-15
1.515466e+02	1.884224e-17
1.521528e+02	1.427482e-16
1.527614e+02	1.741959e-19
1.533725e+02	4.193137e-19
