# Spectrum of TRAPPIST-1 at 1 AU
# WL(nm)	Flux(ergs/cm**2/s/nm)
1.004555e+02	3.614768e-27
1.008574e+02	7.019406e-27
1.012608e+02	7.570899e-27
1.016658e+02	6.944836e-27
1.020725e+02	1.055264e-23
1.024808e+02	1.955036e-25
1.028907e+02	2.855696e-26
1.033023e+02	3.266981e-23
1.037155e+02	2.436414e-26
1.041303e+02	5.024842e-26
1.045469e+02	4.156067e-25
1.049650e+02	5.042695e-27
1.053849e+02	1.906999e-24
1.058064e+02	2.383770e-26
1.062297e+02	3.837390e-24
1.066546e+02	1.121194e-24
1.070812e+02	3.554319e-25
1.075095e+02	1.431141e-22
1.079396e+02	5.434058e-25
1.083713e+02	5.515675e-23
1.088048e+02	1.483821e-23
1.092400e+02	1.623488e-20
1.096770e+02	2.954669e-23
1.101157e+02	3.560664e-23
1.105562e+02	1.092426e-20
1.109984e+02	2.186713e-21
1.114424e+02	2.163972e-22
1.118881e+02	3.608405e-23
1.123357e+02	1.930107e-22
1.127850e+02	5.370889e-19
1.132362e+02	1.421157e-19
1.136891e+02	1.232963e-19
1.141439e+02	1.485460e-19
1.146005e+02	1.437237e-19
1.150589e+02	1.436706e-19
1.155191e+02	9.220572e-20
1.159812e+02	2.627117e-19
1.164451e+02	5.598734e-20
1.169109e+02	6.359192e-20
1.173785e+02	3.116619e-19
1.178480e+02	7.981970e-19
1.183194e+02	5.433998e-19
1.187927e+02	8.834501e-20
1.192679e+02	2.264117e-19
1.197450e+02	2.211774e-19
1.202239e+02	2.308123e-21
1.207048e+02	4.541725e-20
1.211876e+02	1.940392e-21
1.216724e+02	9.917414e-24
1.221591e+02	1.724923e-20
1.226477e+02	9.730651e-20
1.231383e+02	9.866951e-21
1.236309e+02	9.293602e-20
1.241254e+02	2.163282e-20
1.246219e+02	2.017512e-21
1.251204e+02	4.741768e-21
1.256209e+02	2.617081e-19
1.261233e+02	3.085538e-19
1.266278e+02	2.314258e-21
1.271343e+02	7.362293e-20
1.276429e+02	5.995498e-20
1.281535e+02	9.188881e-21
1.286661e+02	5.300453e-20
1.291807e+02	1.193543e-19
1.296975e+02	8.664761e-20
1.302162e+02	9.683091e-21
1.307371e+02	2.988459e-19
1.312601e+02	3.691199e-19
1.317851e+02	2.036912e-19
1.323122e+02	2.278786e-18
1.328415e+02	2.745747e-18
1.333729e+02	1.291416e-18
1.339063e+02	5.733866e-20
1.344420e+02	1.196086e-18
1.349797e+02	4.946545e-18
1.355197e+02	2.822659e-18
1.360617e+02	7.146111e-18
1.366060e+02	1.042928e-18
1.371524e+02	5.272671e-20
1.377010e+02	4.302089e-19
1.382518e+02	3.652408e-17
1.388048e+02	1.028993e-17
1.393601e+02	5.474986e-19
